County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+
Accomack,0,7146.5,0,14293,0,0
Albemarle,0,10548.875,0,21097.75,0,0
Alexandria,0,20262.5,0,40525,0,0
Alleghany,0,6791.625,0,13583.25,0,0
Amelia,0,7270,0,14540,0,0
Amherst,0,6762.25,0,13524.5,0,0
Appomattox,0,6468.875,0,12937.75,0,0
Arlington,0,24179.875,0,48359.75,0,0
Augusta,0,9189.375,0,18378.75,0,0
Bath,0,8795.75,0,17591.5,0,0
Bedford,0,7823.25,0,15646.5,0,0
Bland,0,6906,0,13812,0,0
Botetourt,0,8042.75,0,16085.5,0,0
Bristol,0,5884.625,0,11769.25,0,0
Brunswick,0,6616.625,0,13233.25,0,0
Buchanan,0,5949.25,0,11898.5,0,0
Buckingham,0,5966.125,0,11932.25,0,0
Buena Vista,0,8146.75,0,16293.5,0,0
Campbell,0,7378,0,14756,0,0
Caroline,0,9806.625,0,19613.25,0,0
Carroll,0,5774.25,0,11548.5,0,0
Charles City,0,8406.5,0,16813,0,0
Charlotte,0,6713.25,0,13426.5,0,0
Charlottesville,0,10906.625,0,21813.25,0,0
Chesapeake,0,9739.625,0,19479.25,0,0
Chesterfield,0,10571.625,0,21143.25,0,0
Clarke,0,9892,0,19784,0,0
Colonial Heights,0,11453.375,0,22906.75,0,0
Covington,0,6191.625,0,12383.25,0,0
Craig,0,6455.5,0,12911,0,0
Culpeper,0,10135.125,0,20270.25,0,0
Cumberland,0,6713.25,0,13426.5,0,0
Danville,0,5912.5,0,11825,0,0
Dickenson,0,5774.25,0,11548.5,0,0
Dinwiddie,0,8393.25,0,16786.5,0,0
Emporia,0,8391,0,16782,0,0
Essex,0,8513.625,0,17027.25,0,0
Fairfax,0,14936.25,0,29872.5,0,0
Fairfax,0,14936.25,0,29872.5,0,0
Falls Church,0,18011.75,0,36023.5,0,0
Fauquier,0,10122.625,0,20245.25,0,0
Floyd,0,7275.25,0,14550.5,0,0
Fluvanna,0,8983.5,0,17967,0,0
Franklin,0,9329.5,0,18659,0,0
Franklin,0,8603.5,0,17207,0,0
Frederick,0,9415.125,0,18830.25,0,0
Fredericksburg,0,10799.625,0,21599.25,0,0
Galax,0,5990.5,0,11981,0,0
Giles,0,7275.25,0,14550.5,0,0
Gloucester,0,9740,0,38960,0,0
Goochland,0,10996.125,0,21992.25,0,0
Grayson,0,5774.25,0,11548.5,0,0
Greene,0,8776.875,0,17553.75,0,0
Greensville,0,7666.125,0,15332.25,0,0
Halifax,0,6017.75,0,12035.5,0,0
Hampton,0,9066,0,18132,0,0
Hanover,0,9768.875,0,19537.75,0,0
Harrisonburg,0,9139.625,0,18279.25,0,0
Henrico,0,9907.5,0,19815,0,0
Henry,0,5575.5,0,11151,0,0
Highland,0,9506.75,0,19013.5,0,0
Hopewell,0,9102.75,0,18205.5,0,0
Isle Of Wight,0,7832.375,0,15664.75,0,0
James City,0,9484.25,0,18968.5,0,0
King George,0,9176.375,0,18352.75,0,0
King William,0,8031.125,0,16062.25,0,0
King and Queen,0,9102.75,0,18205.5,0,0
Lancaster,0,9102.75,0,18205.5,0,0
Lee,0,5829.125,0,11658.25,0,0
Lexington,0,8993.875,0,17987.75,0,0
Loudoun,0,16312.5,0,32625,0,0
Louisa,0,9506.75,0,19013.5,0,0
Lunenburg,0,6017.75,0,12035.5,0,0
Lynchburg,0,7489.625,0,14979.25,0,0
Madison,0,11469,0,22938,0,0
Manassas,0,12794.625,0,25589.25,0,0
Manassas Park,0,17578,0,35156,0,0
Martinsville,0,5575.5,0,11151,0,0
Mathews,0,7557.875,0,15115.75,0,0
Mecklenburg,0,6964.5,0,13929,0,0
Middlesex,0,9102.75,0,18205.5,0,0
Montgomery,0,8500.75,0,17001.5,0,0
Nelson,0,9590.375,0,19180.75,0,0
New Kent,0,8004.125,0,16008.25,0,0
Newport News,0,9403.5,0,18807,0,0
Norfolk,0,9878.5,0,19757,0,0
Northampton,0,8175,0,16350,0,0
Northumberland,0,9102.75,0,18205.5,0,0
Norton,0,6062.5,0,12125,0,0
Nottoway,0,5966.125,0,11932.25,0,0
Orange,0,10049,0,20098,0,0
Page,0,9506.75,0,19013.5,0,0
Patrick,0,6704.625,0,13409.25,0,0
Petersburg,0,8851.125,0,17702.25,0,0
Pittsylvania,0,6178.75,0,12357.5,0,0
Poquoson,0,10584.25,0,21168.5,0,0
Portsmouth,0,9414.25,0,18828.5,0,0
Powhatan,0,8840.625,0,17681.25,0,0
Prince Edward,0,6812,0,13624,0,0
Prince George,0,8393.25,0,16786.5,0,0
Prince William,0,12826.375,0,25652.75,0,0
Pulaski,0,7697.625,0,15395.25,0,0
Radford,0,6119.625,0,12239.25,0,0
Rappahannock,0,11397.5,0,22795,0,0
Richmond,0,8393.25,0,16786.5,0,0
Richmond,0,10262.5,0,20525,0,0
Roanoke,0,10343.5,0,20687,0,0
Roanoke,0,9377.875,0,18755.75,0,0
Rockbridge,0,8993.875,0,17987.75,0,0
Rockingham,0,9459,0,18918,0,0
Russell,0,5774.25,0,11548.5,0,0
Salem,0,9551.375,0,19102.75,0,0
Scott,0,5774.25,0,11548.5,0,0
Shenandoah,0,7378.125,0,14756.25,0,0
Smyth,0,6366.125,0,12732.25,0,0
Southampton,0,7724.375,0,15448.75,0,0
Spotsylvania,0,9877.75,0,19755.5,0,0
Stafford,0,10838,0,21676,0,0
Staunton,0,9904.75,0,19809.5,0,0
Suffolk,0,8981.875,0,17963.75,0,0
Surry,0,9102.75,0,18205.5,0,0
Sussex,0,8393.25,0,16786.5,0,0
Tazewell,0,5521.875,0,22087.5,0,0
Virginia Beach,0,9967.25,0,19934.5,0,0
Warren,0,8587,0,17174,0,0
Washington,0,6719.875,0,13439.75,0,0
Waynesboro,0,9263.75,0,18527.5,0,0
Westmoreland,0,9102.75,0,18205.5,0,0
Williamsburg,0,9155,0,18310,0,0
Winchester,0,9397.625,0,18795.25,0,0
Wise,0,6062.5,0,12125,0,0
Wythe,0,6459.5,0,12919,0,0
York,0,9575.625,0,19151.25,0,0
