County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+
Accomack,0,5912,0,11824,0,0
Albemarle,0,7400,0,14800,0,0
Alexandria,0,14527,0,29054,0,0
Alleghany,0,5481,0,10962,0,0
Amelia,0,6300,0,12600,0,0
Amherst,0,5122,0,10244,0,0
Appomattox,0,4931,0,9862,0,0
Arlington,0,18363,0,36726,0,0
Augusta,0,7532,0,15064,0,0
Bath,0,7373,0,14746,0,0
Bedford,0,6055,0,12110,0,0
Bland,0,5930,0,11860,0,0
Botetourt,0,6300,0,12600,0,0
Bristol,0,5190,0,10380,0,0
Brunswick,0,5138,0,10276,0,0
Buchanan,0,5372,0,10744,0,0
Buckingham,0,4902,0,9804,0,0
Buena Vista,0,6715,0,13430,0,0
Campbell,0,6343,0,12686,0,0
Caroline,0,8524,0,17048,0,0
Carroll,0,5190,0,10380,0,0
Charles City,0,6856,0,13712,0,0
Charlotte,0,5216,0,10432,0,0
Charlottesville,0,7637,0,15274,0,0
Chesapeake,0,6662,0,13324,0,0
Chesterfield,0,7570,0,15140,0,0
Clarke,0,8770,0,17540,0,0
Colonial Heights,0,8135,0,16270,0,0
Covington,0,4613,0,9226,0,0
Craig,0,4915,0,9830,0,0
Culpeper,0,8738,0,17476,0,0
Cumberland,0,5216,0,10432,0,0
Danville,0,4325,0,8650,0,0
Dickenson,0,5190,0,10380,0,0
Dinwiddie,0,6929,0,13858,0,0
Emporia,0,6851,0,13702,0,0
Essex,0,6955,0,13910,0,0
Fairfax,0,10910,0,21820,0,0
Fairfax,0,10910,0,21820,0,0
Falls Church,0,13257,0,26514,0,0
Fauquier,0,8444,0,16888,0,0
Floyd,0,5558,0,11116,0,0
Fluvanna,0,7532,0,15064,0,0
Franklin,0,7474,0,14948,0,0
Franklin,0,5930,0,11860,0,0
Frederick,0,7532,0,15064,0,0
Fredericksburg,0,8738,0,17476,0,0
Galax,0,5190,0,10380,0,0
Giles,0,5558,0,11116,0,0
Gloucester,0,7413,0,14826,0,0
Goochland,0,8222,0,16444,0,0
Grayson,0,5190,0,10380,0,0
Greene,0,7532,0,15064,0,0
Greensville,0,6632,0,13264,0,0
Halifax,0,4902,0,9804,0,0
Hampton,0,6856,0,13712,0,0
Hanover,0,6512,0,13024,0,0
Harrisonburg,0,6716,0,13432,0,0
Henrico,0,6507,0,13014,0,0
Henry,0,4325,0,8650,0,0
Highland,0,8536,0,17072,0,0
Hopewell,0,7413,0,14826,0,0
Isle Of Wight,0,5122,0,10244,0,0
James City,0,7304,0,14608,0,0
King George,0,7413,0,14826,0,0
King William,0,7557,0,15114,0,0
King and Queen,0,6266,0,12532,0,0
Lancaster,0,7413,0,14826,0,0
Lee,0,5190,0,10380,0,0
Lexington,0,7532,0,15064,0,0
Loudoun,0,12651,0,25302,0,0
Louisa,0,8536,0,17072,0,0
Lunenburg,0,4902,0,9804,0,0
Lynchburg,0,6343,0,12686,0,0
Madison,0,9635,0,19270,0,0
Manassas,0,9148,0,18296,0,0
Manassas Park,0,13257,0,26514,0,0
Martinsville,0,4325,0,8650,0,0
Mathews,0,5914,0,11828,0,0
Mecklenburg,0,5558,0,11116,0,0
Middlesex,0,7413,0,14826,0,0
Montgomery,0,6343,0,12686,0,0
Nelson,0,9098,0,18196,0,0
New Kent,0,5884,0,11768,0,0
Newport News,0,7542,0,15084,0,0
Norfolk,0,7782,0,15564,0,0
Northampton,0,6955,0,13910,0,0
Northumberland,0,7413,0,14826,0,0
Norton,0,5190,0,10380,0,0
Nottoway,0,4902,0,9804,0,0
Orange,0,8135,0,16270,0,0
Page,0,8536,0,17072,0,0
Patrick,0,5138,0,10276,0,0
Petersburg,0,6824,0,13648,0,0
Pittsylvania,0,4931,0,9862,0,0
Poquoson,0,8436,0,16872,0,0
Portsmouth,0,7781,0,15562,0,0
Powhatan,0,6472,0,12944,0,0
Prince Edward,0,5122,0,10244,0,0
Prince George,0,6929,0,13858,0,0
Prince William,0,8827,0,17654,0,0
Pulaski,0,6671,0,13342,0,0
Radford,0,4325,0,8650,0,0
Rappahannock,0,8842,0,17684,0,0
Richmond,0,6929,0,13858,0,0
Richmond,0,7413,0,14826,0,0
Roanoke,0,9265,0,18530,0,0
Roanoke,0,8164,0,16328,0,0
Rockbridge,0,7532,0,15064,0,0
Rockingham,0,8004,0,16008,0,0
Russell,0,5190,0,10380,0,0
Salem,0,8570,0,17140,0,0
Scott,0,5190,0,10380,0,0
Shenandoah,0,5918,0,11836,0,0
Smyth,0,5481,0,10962,0,0
Southampton,0,5671,0,11342,0,0
Spotsylvania,0,7650,0,15300,0,0
Stafford,0,8532,0,17064,0,0
Staunton,0,9219,0,18438,0,0
Suffolk,0,5148,0,10296,0,0
Surry,0,7413,0,14826,0,0
Sussex,0,6929,0,13858,0,0
Tazewell,0,4613,0,9226,0,0
Virginia Beach,0,7570,0,15140,0,0
Warren,0,7431,0,14862,0,0
Washington,0,5423,0,10846,0,0
Waynesboro,0,8597,0,17194,0,0
Westmoreland,0,7413,0,14826,0,0
Williamsburg,0,6920,0,13840,0,0
Winchester,0,7871,0,15742,0,0
Wise,0,5190,0,10380,0,0
Wythe,0,5564,0,11128,0,0
York,0,8074,0,16148,0,0
