County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost,
Accomack,125,179,179,286,125,179,1072,
Albemarle,125,179,179,286,125,179,1072,
Alexandria,125,179,179,286,125,179,1072,
Alleghany,125,179,179,286,125,179,1072,
Amelia,125,179,179,286,125,179,1072,
Amherst,125,179,179,286,125,179,1072,
Appomattox,125,179,179,286,125,179,1072,
Arlington,125,179,179,286,125,179,1072,
Augusta,125,179,179,286,125,179,1072,
Bath,125,179,179,286,125,179,1072,
Bedford,125,179,179,286,125,179,1072,
Bland,125,179,179,286,125,179,1072,
Botetourt,125,179,179,286,125,179,1072,
Bristol,125,179,179,286,125,179,1072,
Brunswick,125,179,179,286,125,179,1072,
Buchanan,125,179,179,286,125,179,1072,
Buckingham,125,179,179,286,125,179,1072,
Buena Vista,125,179,179,286,125,179,1072,
Campbell,125,179,179,286,125,179,1072,
Caroline,125,179,179,286,125,179,1072,
Carroll,125,179,179,286,125,179,1072,
Charles City,125,179,179,286,125,179,1072,
Charlotte,125,179,179,286,125,179,1072,
Charlottesville,125,179,179,286,125,179,1072,
Chesapeake,125,179,179,286,125,179,1072,
Chesterfield,125,179,179,286,125,179,1072,
Clarke,125,179,179,286,125,179,1072,
Colonial Heights,125,179,179,286,125,179,1072,
Covington,125,179,179,286,125,179,1072,
Craig,125,179,179,286,125,179,1072,
Culpeper,125,179,179,286,125,179,1072,
Cumberland,125,179,179,286,125,179,1072,
Danville,125,179,179,286,125,179,1072,
Dickenson,125,179,179,286,125,179,1072,
Dinwiddie,125,179,179,286,125,179,1072,
Emporia,125,179,179,286,125,179,1072,
Essex,125,179,179,286,125,179,1072,
Fairfax,125,179,179,286,125,179,1072,
Fairfax,125,179,179,286,125,179,1072,
Falls Church,125,179,179,286,125,179,1072,
Fauquier,125,179,179,286,125,179,1072,
Floyd,125,179,179,286,125,179,1072,
Fluvanna,125,179,179,286,125,179,1072,
Franklin,125,179,179,286,125,179,1072,
Franklin,125,179,179,286,125,179,1072,
Frederick,125,179,179,286,125,179,1072,
Fredericksburg,125,179,179,286,125,179,1072,
Galax,125,179,179,286,125,179,1072,
Giles,125,179,179,286,125,179,1072,
Gloucester,125,179,179,286,125,179,1072,
Goochland,125,179,179,286,125,179,1072,
Grayson,125,179,179,286,125,179,1072,
Greene,125,179,179,286,125,179,1072,
Greensville,125,179,179,286,125,179,1072,
Halifax,125,179,179,286,125,179,1072,
Hampton,125,179,179,286,125,179,1072,
Hanover,125,179,179,286,125,179,1072,
Harrisonburg,125,179,179,286,125,179,1072,
Henrico,125,179,179,286,125,179,1072,
Henry,125,179,179,286,125,179,1072,
Highland,125,179,179,286,125,179,1072,
Hopewell,125,179,179,286,125,179,1072,
Isle Of Wight,125,179,179,286,125,179,1072,
James City,125,179,179,286,125,179,1072,
King George,125,179,179,286,125,179,1072,
King William,125,179,179,286,125,179,1072,
King and Queen,125,179,179,286,125,179,1072,
Lancaster,125,179,179,286,125,179,1072,
Lee,125,179,179,286,125,179,1072,
Lexington,125,179,179,286,125,179,1072,
Loudoun,125,179,179,286,125,179,1072,
Louisa,125,179,179,286,125,179,1072,
Lunenburg,125,179,179,286,125,179,1072,
Lynchburg,125,179,179,286,125,179,1072,
Madison,125,179,179,286,125,179,1072,
Manassas,125,179,179,286,125,179,1072,
Manassas Park,125,179,179,286,125,179,1072,
Martinsville,125,179,179,286,125,179,1072,
Mathews,125,179,179,286,125,179,1072,
Mecklenburg,125,179,179,286,125,179,1072,
Middlesex,125,179,179,286,125,179,1072,
Montgomery,125,179,179,286,125,179,1072,
Nelson,125,179,179,286,125,179,1072,
New Kent,125,179,179,286,125,179,1072,
Newport News,125,179,179,286,125,179,1072,
Norfolk,125,179,179,286,125,179,1072,
Northampton,125,179,179,286,125,179,1072,
Northumberland,125,179,179,286,125,179,1072,
Norton,125,179,179,286,125,179,1072,
Nottoway,125,179,179,286,125,179,1072,
Orange,125,179,179,286,125,179,1072,
Page,125,179,179,286,125,179,1072,
Patrick,125,179,179,286,125,179,1072,
Petersburg,125,179,179,286,125,179,1072,
Pittsylvania,125,179,179,286,125,179,1072,
Poquoson,125,179,179,286,125,179,1072,
Portsmouth,125,179,179,286,125,179,1072,
Powhatan,125,179,179,286,125,179,1072,
Prince Edward,125,179,179,286,125,179,1072,
Prince George,125,179,179,286,125,179,1072,
Prince William,125,179,179,286,125,179,1072,
Pulaski,125,179,179,286,125,179,1072,
Radford,125,179,179,286,125,179,1072,
Rappahannock,125,179,179,286,125,179,1072,
Richmond,125,179,179,286,125,179,1072,
Richmond,125,179,179,286,125,179,1072,
Roanoke,125,179,179,286,125,179,1072,
Roanoke,125,179,179,286,125,179,1072,
Rockbridge,125,179,179,286,125,179,1072,
Rockingham,125,179,179,286,125,179,1072,
Russell,125,179,179,286,125,179,1072,
Salem,125,179,179,286,125,179,1072,
Scott,125,179,179,286,125,179,1072,
Shenandoah,125,179,179,286,125,179,1072,
Smyth,125,179,179,286,125,179,1072,
Southampton,125,179,179,286,125,179,1072,
Spotsylvania,125,179,179,286,125,179,1072,
Stafford,125,179,179,286,125,179,1072,
Staunton,125,179,179,286,125,179,1072,
Suffolk,125,179,179,286,125,179,1072,
Surry,125,179,179,286,125,179,1072,
Sussex,125,179,179,286,125,179,1072,
Tazewell,125,179,179,286,125,179,1072,
Virginia Beach,125,179,179,286,125,179,1072,
Warren,125,179,179,286,125,179,1072,
Washington,125,179,179,286,125,179,1072,
Waynesboro,125,179,179,286,125,179,1072,
Westmoreland,125,179,179,286,125,179,1072,
Williamsburg,125,179,179,286,125,179,1072,
Winchester,125,179,179,286,125,179,1072,
Wise,125,179,179,286,125,179,1072,
Wythe,125,179,179,286,125,179,1072,
York,125,179,179,286,125,179,1072,
,,,,,,,,
