County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
Accomack,1129.5,2259,1129.5,2259,564.75,1129.5
Albemarle,1042.53,2085.07,1042.53,2085.07,521.27,1042.53
Alexandria,892.64,1785.28,892.64,1785.28,446.32,892.64
Alleghany,1163.67,2327.33,1163.67,2327.33,581.83,1163.67
Amelia,968.6,1937.2,968.6,1937.2,484.3,968.6
Amherst,1100.09,2200.17,1100.09,2200.17,550.04,1100.09
Appomattox,1180.72,2361.44,1180.72,2361.44,590.36,1180.72
Arlington,726.15,1452.3,726.15,1452.3,363.08,726.15
Augusta,1218.52,2437.03,1218.52,2437.03,609.26,1218.52
Bath,1307.33,2614.65,1307.33,2614.65,653.66,1307.33
Bedford,1164.31,2328.62,1164.31,2328.62,582.16,1164.31
Bland,1152.27,2304.55,1152.27,2304.55,576.14,1152.27
Botetourt,1146.51,2293.03,1146.51,2293.03,573.26,1146.51
Bristol,1306.32,2612.64,1306.32,2612.64,653.16,1306.32
Brunswick,1069.61,2139.22,1069.61,2139.22,534.8,1069.61
Buchanan,1185.78,2371.56,1185.78,2371.56,592.89,1185.78
Buckingham,1008.61,2017.22,1008.61,2017.22,504.3,1008.61
Buena Vista,1221.55,2443.11,1221.55,2443.11,610.78,1221.55
Campbell,1207.48,2414.96,1207.48,2414.96,603.74,1207.48
Caroline,1023.5,2047,1023.5,2047,511.75,1023.5
Carroll,1184.31,2368.62,1184.31,2368.62,592.15,1184.31
Charles,1032.69,2065.37,1032.69,2065.37,516.34,1032.69
Charlotte,1315.47,2630.94,1315.47,2630.94,657.74,1315.47
Charlottesville,925.92,1851.84,925.92,1851.84,462.96,925.92
Chesapeake,1184.4,2368.79,1184.4,2368.79,592.2,1184.4
Chesterfield,1095.01,2190.02,1095.01,2190.02,547.5,1095.01
Clarke,1069.94,2139.88,1069.94,2139.88,534.97,1069.94
Colonial Heights,1298.07,2596.14,1298.07,2596.14,649.04,1298.07
Covington,1194.86,2389.72,1194.86,2389.72,597.43,1194.86
Craig,1163.21,2326.42,1163.21,2326.42,581.61,1163.21
Culpeper,1105.32,2210.63,1105.32,2210.63,552.66,1105.32
Cumberland,1061.92,2123.85,1061.92,2123.85,530.96,1061.92
