County,Min_Elder_Care_1_Adult_65,Min_Elder_Care_2_Adults_65
Virginia,1885.68,3394.22
Accomack County,1191.84,2145.31
Albemarle County,2127.01,3828.62
Alleghany County,1143.34,2058.01
Amelia County,1375.05,2475.09
Amherst County,1394.93,2510.87
Appomattox County,1292.1,2325.78
Arlington County,2905.19,5229.34
Augusta County,1657.64,2983.75
Bath County,1279.09,2302.36
Bedford County,1609.38,2896.88
Bland County,1272.16,2289.89
Botetourt County,1667.9,3002.22
Brunswick County,1098.11,1976.6
Buchanan County,875.04,1575.07
Buckingham County,1227.06,2208.71
Campbell County,1297.72,2335.9
Caroline County,1788.12,3218.62
Carroll County,1089.76,1961.57
Charles City County,1457.97,2624.35
Charlotte County,1013.42,1824.16
Chesterfield County,2050.18,3690.32
Clarke County,2366.79,4260.22
Craig County,1404.88,2528.78
Culpeper County,1991.89,3585.4
Cumberland County,1182.66,2128.79
Dickenson County,908.52,1635.34
Dinwiddie County,1739.01,3130.22
Essex County,1170.72,2107.3
Fairfax County,3111.5,5600.7
Fauquier County,2684.13,4831.43
Floyd County,1272.7,2290.86
Fluvanna County,1906.1,3430.98
Franklin County,1416.7,2550.06
Frederick County,1981.63,3566.93
Giles County,1343.55,2418.39
Gloucester County,1734.68,3122.42
Goochland County,2460.27,4428.49
Grayson County,888.47,1599.25
Greene County,1767.41,3181.34
Greensville County,1176.48,2117.66
Halifax County,1020.71,1837.28
Hanover County,2269.77,4085.59
Henrico County,1790.81,3223.46
Henry County,1004.15,1807.47
Highland County,1304.73,2348.51
Isle of Wight County,1992.31,3586.16
James City County,2218.82,3993.88
King and Queen County,1510.03,2718.05
King George County,2290.76,4123.37
King William County,1766.25,3179.25
Lancaster County,1392.26,2506.07
Lee County,876.14,1577.05
Loudoun County,3704.19,6667.54
Louisa County,1665.33,2997.59
Lunenburg County,1128.83,2031.89
Madison County,1719.82,3095.68
Mathews County,1564.67,2816.41
Mecklenburg County,1071.44,1928.59
Middlesex County,1537.04,2766.67
Montgomery County,1466.88,2640.38
Nelson County,1420.37,2556.67
New Kent County,2489.91,4481.84
Northampton County,1159.36,2086.85
Northumberland County,1440.58,2593.04
Nottoway County,1288.45,2319.21
Orange County,1952.03,3513.65
Page County,1231.14,2216.05
Patrick County,1055.83,1900.49
Pittsylvania County,1121.68,2019.02
Powhatan County,2293.87,4128.97
Prince Edward County,1141.72,2055.1
Prince George County,1828.7,3291.66
Prince William County,2671.24,4808.23
Pulaski County,1259.56,2267.21
Rappahannock County,2033.91,3661.04
Richmond County,1330.39,2394.7
Roanoke County,1718.97,3094.15
Rockbridge County,1326.05,2386.89
Rockingham County,1626.46,2927.63
Russell County,1016.07,1828.93
Scott County,935.57,1684.03
Shenandoah County,1335.63,2404.13
Smyth County,971.28,1748.3
Southampton County,1419.12,2554.42
Spotsylvania County,2271.26,4088.27
Stafford County,2773.2,4991.76
Surry County,1481.16,2666.09
Sussex County,1302.13,2343.83
Tazewell County,949.08,1708.34
Warren County,1747.99,3146.38
Washington County,1301.16,2342.09
Westmoreland County,1238.81,2229.86
Wise County,1051.72,1893.1
Wythe County,1147.46,2065.43
York County,2245.35,4041.63
Alexandria city,2355.45,4239.81
Bristol city,926.65,1667.97
Buena Vista city,1128.79,2031.82
Charlottesville city,1447.39,2605.3
Chesapeake city,1952.32,3514.18
Colonial Heights city,1580.49,2844.88
Covington city,885.57,1594.03
Danville city,886.69,1596.04
Emporia city,1023.43,1842.17
Fairfax city,2752.1,4953.78
Falls Church city,3207.28,5773.1
Franklin city,1349.89,2429.8
Fredericksburg city,1769.48,3185.06
Galax city,858.91,1546.04
Hampton city,1404.47,2528.05
Harrisonburg city,1238.52,2229.34
Hopewell city,1009.05,1816.29
Lexington city,1857.16,3342.89
Lynchburg city,1239.68,2231.42
Manassas city,2444.19,4399.54
Manassas Park city,2086.62,3755.92
Martinsville city,879.56,1583.21
Newport News city,1382.91,2489.24
Norfolk city,1326.93,2388.47
Norton city,797.95,1436.31
Petersburg city,1051.74,1893.13
Poquoson city,2506.37,4511.47
Portsmouth city,1222.35,2200.23
Radford city,1094.24,1969.63
Richmond city,1299.03,2338.25
Roanoke city,1091.75,1965.15
Salem city,1382.87,2489.17
Staunton city,1297.26,2335.07
Suffolk city,1867.34,3361.21
Virginia Beach city,1879.69,3383.44
Waynesboro city,1168.3,2102.94
Williamsburg city,1455.21,2619.38
Winchester city,1340,2412
