County,Elder_Care_1_Adult_65,Elder_Care_2_Adults_65
Virginia,6953.32,12515.98
Accomack County,4394.84,7910.71
Albemarle County,7843.21,14117.78
Alleghany County,4215.98,7588.76
Amelia County,5070.42,9126.76
Amherst County,5143.72,9258.7
Appomattox County,4764.54,8576.17
Arlington County,10712.7,19282.86
Augusta County,6112.41,11002.34
Bath County,4716.54,8489.77
Bedford County,5934.48,10682.06
Bland County,4691.01,8443.82
Botetourt County,6150.25,11070.45
Brunswick County,4049.21,7288.58
Buchanan County,3226.65,5807.97
Buckingham County,4524.69,8144.44
Campbell County,4785.25,8613.45
Caroline County,6593.55,11868.39
Carroll County,4018.41,7233.14
Charles City County,5376.15,9677.07
Charlotte County,3736.91,6726.44
Chesterfield County,7559.88,13607.78
Clarke County,8727.38,15709.28
Craig County,5180.4,9324.72
Culpeper County,7344.96,13220.93
Cumberland County,4360.98,7849.76
Dickenson County,3350.09,6030.16
Dinwiddie County,6412.49,11542.48
Essex County,4316.95,7770.51
Fairfax County,11473.43,20652.17
Fauquier County,9897.55,17815.59
Floyd County,4693,8447.4
Fluvanna County,7028.6,12651.48
Franklin County,5223.97,9403.15
Frederick County,7307.12,13152.82
Giles County,4954.24,8917.63
Gloucester County,6396.51,11513.72
Goochland County,9072.09,16329.76
Grayson County,3276.18,5897.12
Greene County,6517.2,11730.96
Greensville County,4338.2,7808.76
Halifax County,3763.81,6774.86
Hanover County,8369.6,15065.28
Henrico County,6603.49,11886.28
Henry County,3702.74,6664.93
Highland County,4811.08,8659.94
Isle of Wight County,7346.48,13223.66
James City County,8181.73,14727.11
King and Queen County,5568.14,10022.65
King George County,8447.03,15204.65
King William County,6512.92,11723.26
Lancaster County,5133.86,9240.95
Lee County,3230.7,5815.26
Loudoun County,13658.92,24586.06
Louisa County,6140.77,11053.39
Lunenburg County,4162.48,7492.46
Madison County,6341.71,11415.08
Mathews County,5769.62,10385.32
Mecklenburg County,3950.84,7111.51
Middlesex County,5667.73,10201.91
Montgomery County,5409.01,9736.22
Nelson County,5237.5,9427.5
New Kent County,9181.38,16526.48
Northampton County,4275.07,7695.13
Northumberland County,5312.02,9561.64
Nottoway County,4751.08,8551.94
Orange County,7197.98,12956.36
Page County,4539.75,8171.55
Patrick County,3893.29,7007.92
Pittsylvania County,4136.11,7445
Powhatan County,8458.49,15225.28
Prince Edward County,4210.02,7578.04
Prince George County,6743.21,12137.78
Prince William County,9850.01,17730.02
Pulaski County,4644.54,8360.17
Rappahannock County,7499.88,13499.78
Richmond County,4905.71,8830.28
Roanoke County,6338.58,11409.44
Rockbridge County,4889.73,8801.51
Rockingham County,5997.46,10795.43
Russell County,3746.69,6744.04
Scott County,3449.83,6209.69
Shenandoah County,4925.04,8865.07
Smyth County,3581.52,6446.74
Southampton County,5232.91,9419.24
Spotsylvania County,8375.1,15075.18
Stafford County,10225.98,18406.76
Surry County,5461.67,9831.01
Sussex County,4801.53,8642.75
Tazewell County,3499.66,6299.39
Warren County,6445.58,11602.04
Washington County,4797.94,8636.29
Westmoreland County,4568.03,8222.45
Wise County,3878.16,6980.69
Wythe County,4231.19,7616.14
York County,8279.56,14903.21
Alexandria city,8685.57,15634.03
Bristol city,3416.97,6150.55
Buena Vista city,4162.33,7492.19
Charlottesville city,5337.16,9606.89
Chesapeake city,7199.05,12958.29
Colonial Heights city,5827.93,10490.27
Covington city,3265.48,5877.86
Danville city,3269.6,5885.28
Emporia city,3773.83,6792.89
Fairfax city,10148.17,18266.71
Falls Church city,11826.62,21287.92
Franklin city,4977.63,8959.73
Fredericksburg city,6524.84,11744.71
Galax city,3167.19,5700.94
Hampton city,5178.87,9321.97
Harrisonburg city,4566.96,8220.53
Hopewell city,3720.78,6697.4
Lexington city,6848.15,12326.67
Lynchburg city,4571.24,8228.23
Manassas city,9012.78,16223
Manassas Park city,7694.25,13849.65
Martinsville city,3243.31,5837.96
Newport News city,5099.39,9178.9
Norfolk city,4892.94,8807.29
Norton city,2942.4,5296.32
Petersburg city,3878.23,6980.81
Poquoson city,9242.07,16635.73
Portsmouth city,4507.34,8113.21
Radford city,4034.92,7262.86
Richmond city,4790.07,8622.13
Roanoke city,4025.75,7246.35
Salem city,5099.23,9178.61
Staunton city,4783.57,8610.43
Suffolk city,6885.68,12394.22
Virginia Beach city,6931.23,12476.21
Waynesboro city,4308.01,7754.42
Williamsburg city,5365.98,9658.76
Winchester city,4941.17,8894.11
