"County","Minimum food cost","Average food cost","1 Adult: 19-50 Years (Min)","2 Adults: 19-50 Years (Min)","1 Adult 1 Child (Min)","2 Adults 2 Children (Min)","1 Adults 65+ (Min)","2 Adults 65+ (Min)","1 Adult: 19-50 Years (Avg)","2 Adults: 19-50 Years (Avg)","1 Adult 1 Child (Avg)","2 Adults 2 Children (Avg)","1 Adults 65+ (Avg)","2 Adults 65+ (Avg)"
"Accomack County, Virginia",547.51,729.57,547.51,876.016,793.8895,1149.771,465.3835,766.514,729.57,1167.312,1057.8765,1532.097,620.1345,1021.398
"Albemarle County, Virginia",571.95,762.14,571.95,915.12,829.3275,1201.095,486.1575,800.73,762.14,1219.424,1105.103,1600.494,647.819,1066.996
"Alleghany County, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Amelia County, Virginia",611.06,814.25,611.06,977.696,886.037,1283.226,519.401,855.484,814.25,1302.8,1180.6625,1709.925,692.1125,1139.95
"Amherst County, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
"Appomattox County, Virginia",608.62,810.99,608.62,973.792,882.499,1278.102,517.327,852.068,810.99,1297.584,1175.9355,1703.079,689.3415,1135.386
"Arlington County, Virginia",508.4,677.46,508.4,813.44,737.18,1067.64,432.14,711.76,677.46,1083.936,982.317,1422.666,575.841,948.444
"Augusta County, Virginia",593.95,791.45,593.95,950.32,861.2275,1247.295,504.8575,831.53,791.45,1266.32,1147.6025,1662.045,672.7325,1108.03
"Bath County, Virginia",540.18,719.8,540.18,864.288,783.261,1134.378,459.153,756.252,719.8,1151.68,1043.71,1511.58,611.83,1007.72
"Bedford County, Virginia",596.4,794.71,596.4,954.24,864.78,1252.44,506.94,834.96,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594
"Bland County, Virginia",549.96,732.82,549.96,879.936,797.442,1154.916,467.466,769.944,732.82,1172.512,1062.589,1538.922,622.897,1025.948
"Botetourt County, Virginia",623.28,830.54,623.28,997.248,903.756,1308.888,529.788,872.592,830.54,1328.864,1204.283,1744.134,705.959,1162.756
"Brunswick County, Virginia",523.07,697,523.07,836.912,758.4515,1098.447,444.6095,732.298,697,1115.2,1010.65,1463.7,592.45,975.8
"Buchanan County, Virginia",623.28,830.54,623.28,997.248,903.756,1308.888,529.788,872.592,830.54,1328.864,1204.283,1744.134,705.959,1162.756
"Buckingham County, Virginia",596.4,794.71,596.4,954.24,864.78,1252.44,506.94,834.96,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594
"Campbell County, Virginia",606.17,807.74,606.17,969.872,878.9465,1272.957,515.2445,848.638,807.74,1292.384,1171.223,1696.254,686.579,1130.836
"Caroline County, Virginia",635.5,846.82,635.5,1016.8,921.475,1334.55,540.175,889.7,846.82,1354.912,1227.889,1778.322,719.797,1185.548
"Carroll County, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Charles City County, Virginia",554.84,739.34,554.84,887.744,804.518,1165.164,471.614,776.776,739.34,1182.944,1072.043,1552.614,628.439,1035.076
"Charlotte County, Virginia",598.84,797.96,598.84,958.144,868.318,1257.564,509.014,838.376,797.96,1276.736,1157.042,1675.716,678.266,1117.144
"Chesterfield County, Virginia",655.06,872.88,655.06,1048.096,949.837,1375.626,556.801,917.084,872.88,1396.608,1265.676,1833.048,741.948,1222.032
"Clarke County, Virginia",640.39,853.33,640.39,1024.624,928.5655,1344.819,544.3315,896.546,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662
"Craig County, Virginia",679.5,905.45,679.5,1087.2,985.275,1426.95,577.575,951.3,905.45,1448.72,1312.9025,1901.445,769.6325,1267.63
"Culpeper County, Virginia",684.39,911.96,684.39,1095.024,992.3655,1437.219,581.7315,958.146,911.96,1459.136,1322.342,1915.116,775.166,1276.744
"Cumberland County, Virginia",569.51,758.88,569.51,911.216,825.7895,1195.971,484.0835,797.314,758.88,1214.208,1100.376,1593.648,645.048,1062.432
"Dickenson County, Virginia",574.4,765.4,574.4,919.04,832.88,1206.24,488.24,804.16,765.4,1224.64,1109.83,1607.34,650.59,1071.56
"Dinwiddie County, Virginia",640.39,853.33,640.39,1024.624,928.5655,1344.819,544.3315,896.546,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662
"Essex County, Virginia",581.73,775.17,581.73,930.768,843.5085,1221.633,494.4705,814.422,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238
"Fairfax County, Virginia",672.17,895.68,672.17,1075.472,974.6465,1411.557,571.3445,941.038,895.68,1433.088,1298.736,1880.928,761.328,1253.952
"Fauquier County, Virginia",684.39,911.96,684.39,1095.024,992.3655,1437.219,581.7315,958.146,911.96,1459.136,1322.342,1915.116,775.166,1276.744
"Floyd County, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Fluvanna County, Virginia",630.62,840.31,630.62,1008.992,914.399,1324.302,536.027,882.868,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434
"Franklin County, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
"Frederick County, Virginia",655.06,872.88,655.06,1048.096,949.837,1375.626,556.801,917.084,872.88,1396.608,1265.676,1833.048,741.948,1222.032
