County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult: 65+,2 Adults: 65+,
Accomack,316,569,474,822,348,600,
Albemarle,564,1015,846,1466,620,1072,
Alexandria,625,1124,937,1624,687,1187,
Alleghany,303,546,455,788,333,576,
Amelia,365,656,547,948,401,693,
Amherst,370,666,555,962,407,703,
Appomattox,343,617,514,891,377,651,
Arlington,770,1387,1155,2003,847,1464,
Augusta,440,791,659,1143,483,835,
Bath,339,610,509,882,373,644,
Bedford,427,768,640,1110,469,811,
Bland,337,607,506,877,371,641,
Botetourt,442,796,663,1150,486,840,
Bristol,246,442,369,639,270,467,
Brunswick,291,524,437,757,320,553,
Buchanan,232,418,348,603,255,441,
Buckingham,325,586,488,846,358,618,
Buena Vista,299,539,449,778,329,569,
Campbell,344,619,516,895,379,654,
Caroline,474,853,711,1233,522,901,
Carroll,289,520,433,751,318,549,
Charles City,269,484,403,699,296,511,
Charlotte,384,691,576,998,422,729,
Charlottesville,518,932,777,1346,569,984,
Chesapeake,544,979,815,1413,598,1033,
Chesterfield,628,1130,941,1632,690,1192,
Clarke,419,754,629,1090,461,796,
Colonial Heights,235,423,352,611,258,446,
Covington,373,671,559,969,410,708,
Craig,528,951,792,1373,581,1004,
Culpeper,314,564,470,815,345,596,
Cumberland,235,423,353,611,259,447,
Danville,241,434,361,626,265,458,
Dickenson,461,830,692,1199,507,876,
Dinwiddie,271,488,407,706,299,516,
Emporia,310,559,466,807,341,590,
Essex,730,1314,1095,1897,803,1387,
Fairfax,730,1314,1095,1897,803,1387,
Fairfax,825,1485,1238,2145,908,1568,
Falls Church,825,1485,1238,2145,908,1568,
Fauquier,850,1531,1276,2211,935,1616,
Floyd,712,1281,1068,1850,783,1352,
Fluvanna,337,607,506,877,371,641,
Franklin,505,910,758,1314,556,960,
Franklin,358,644,537,931,394,680,
Frederick,358,644,537,931,394,680,
Fredericksburg,376,676,563,977,413,714,
Galax,376,676,563,977,413,714,
Giles,525,946,788,1366,578,998,
Gloucester,469,845,704,1220,516,891,
Goochland,228,410,342,592,251,433,
Grayson,356,641,534,926,392,677,
Greene,460,828,690,1196,506,874,
Greensville,652,1174,979,1696,718,1239,
Halifax,236,424,353,613,259,448,
Hampton,469,844,703,1218,516,890,
Hanover,312,562,468,811,343,593,
Harrisonburg,271,487,406,704,298,514,
Henrico,372,670,559,968,410,708,
Henry,602,1083,903,1565,662,1144,
Highland,328,591,493,854,361,624,
Hopewell,475,855,712,1235,522,902,
Isle Of Wight,266,479,399,692,293,506,
James City,346,623,519,899,381,657,
King George,268,482,401,696,294,508,
King William,528,951,792,1374,581,1004,
King and Queen,400,721,601,1041,440,761,
Lancaster,607,1093,911,1579,668,1154,
Lee,468,843,703,1218,515,890,
Lexington,369,665,554,960,406,701,
Loudoun,232,418,348,604,256,441,
Louisa,492,886,739,1280,542,936,
Lunenburg,982,1768,1473,2554,1080,1866,
Lynchburg,442,795,662,1148,486,839,
Madison,299,539,449,778,329,569,
Manassas,329,592,493,855,362,625,
Manassas Park,456,821,684,1186,502,866,
Martinsville,648,1167,972,1685,713,1231,
Mathews,553,996,830,1439,609,1051,
Mecklenburg,233,420,350,606,257,443,
Middlesex,415,747,622,1079,456,788,
Montgomery,284,511,426,739,313,540,
Nelson,408,734,611,1060,448,774,
New Kent,389,700,583,1011,428,739,
Newport News,377,678,565,979,414,716,
Norfolk,660,1188,990,1717,726,1254,
Northampton,367,660,550,953,403,697,
Northumberland,352,633,528,915,387,669,
Norton,307,553,461,799,338,584,
Nottoway,382,688,573,993,420,726,
Orange,212,381,317,550,233,402,
Page,342,615,512,888,376,649,
Patrick,518,932,776,1346,569,983,
Petersburg,326,588,490,849,359,620,
Pittsylvania,280,504,420,728,308,532,
Poquoson,279,502,418,725,307,530,
Portsmouth,297,535,446,773,327,565,
Powhatan,665,1196,997,1728,731,1263,
Prince Edward,324,583,486,843,357,616,
Prince George,608,1095,912,1581,669,1156,
Prince William,303,545,454,787,333,575,
Pulaski,485,873,727,1261,533,921,
Radford,708,1275,1062,1842,779,1346,
Rappahannock,334,601,501,868,367,635,
Richmond,290,522,435,754,319,551,
Richmond,539,971,809,1402,593,1025,
Roanoke,344,620,517,896,379,654,
Roanoke,344,620,517,896,379,654,
Rockbridge,353,635,529,917,388,670,
Rockingham,353,635,529,917,388,670,
Russell,289,521,434,753,318,550,
Salem,289,521,434,753,318,550,
Scott,456,820,684,1185,501,866,
Shenandoah,456,820,684,1185,501,866,
Smyth,352,633,527,914,387,668,
Southampton,431,776,647,1121,474,819,
Spotsylvania,269,485,404,700,296,512,
Stafford,367,660,550,953,403,697,
Staunton,248,447,372,645,273,471,
Suffolk,354,637,531,921,390,673,
Surry,258,464,386,670,283,489,
Sussex,376,677,564,978,414,715,
Tazewell,602,1084,903,1566,662,1144,
Virginia Beach,735,1324,1103,1912,809,1397,
Warren,344,619,516,894,378,654,
Washington,495,891,743,1287,545,941,
Waynesboro,393,707,589,1021,432,746,
Westmoreland,345,621,518,898,380,656,
Williamsburg,252,453,377,654,277,478,
Winchester,498,897,748,1296,548,947,
Wise,463,834,695,1205,510,881,
Wythe,345,621,518,897,380,656,
York,310,558,465,805,341,589,
,,,,,,,
