County,Rank ,Studio,1-Bed,2-Bed,3-Bed,4-Bed
Accomack County,92nd,$690 ,$776 ,$940 ,"$1,257 ","$1,521 "
Albemarle County,15th,"$1,404 ","$1,487 ","$1,729 ","$2,155 ","$2,621 "
Alexandria city,1st,"$2,012 ","$2,056 ","$2,314 ","$2,893 ","$3,413 "
Alleghany County,109th,$736 ,$738 ,$851 ,"$1,192 ","$1,281 "
Amelia County,20th,"$1,488 ","$1,545 ","$1,711 ","$2,166 ","$2,677 "
Amherst County,64th,"$1,043 ","$1,062 ","$1,200 ","$1,647 ","$1,785 "
Appomattox County,64th,"$1,043 ","$1,062 ","$1,200 ","$1,647 ","$1,785 "
Arlington County,1st,"$2,012 ","$2,056 ","$2,314 ","$2,893 ","$3,413 "
Augusta County,59th,"$1,107 ","$1,114 ","$1,282 ","$1,796 ","$2,092 "
Bath County,106th,$698 ,$702 ,$867 ,"$1,128 ","$1,355 "
Bedford County,64th,"$1,043 ","$1,062 ","$1,200 ","$1,647 ","$1,785 "
Bland County,109th,$685 ,$689 ,$851 ,"$1,192 ","$1,330 "
Botetourt County,73rd,$892 ,$948 ,"$1,141 ","$1,597 ","$1,885 "
Bristol city,85th,$738 ,$824 ,"$1,043 ","$1,343 ","$1,538 "
Brunswick County,109th,$685 ,$689 ,$851 ,"$1,192 ","$1,340 "
Buchanan County,109th,$670 ,$674 ,$851 ,"$1,130 ","$1,429 "
Buckingham County,93rd,$809 ,$834 ,$935 ,"$1,180 ","$1,342 "
Buena Vista city,99th,$777 ,$812 ,$899 ,"$1,260 ","$1,510 "
Campbell County,64th,"$1,043 ","$1,062 ","$1,200 ","$1,647 ","$1,785 "
Caroline County,78th,$901 ,$906 ,"$1,119 ","$1,568 ","$1,859 "
Carroll County,109th,$701 ,$706 ,$851 ,"$1,192 ","$1,402 "
Charles City County,20th,"$1,488 ","$1,545 ","$1,711 ","$2,166 ","$2,677 "
Charlotte County,109th,$644 ,$649 ,$851 ,"$1,079 ","$1,429 "
Charlottesville city,15th,"$1,404 ","$1,487 ","$1,729 ","$2,155 ","$2,621 "
Chesapeake city,36th,"$1,475 ","$1,483 ","$1,696 ","$2,361 ","$2,809 "
Chesterfield County,20th,"$1,488 ","$1,545 ","$1,711 ","$2,166 ","$2,677 "
Clarke County,1st,"$2,012 ","$2,056 ","$2,314 ","$2,893 ","$3,413 "
