County,Rank ,Studio,1-Bed,2-Bed,3-Bed,4-Bed,Studio_110pct,1-Bed_110pct,2-Bed_110pct,3-Bed_110pct,4-Bed_110pct
Accomack County,92nd,690,776,940,1257,1521,759,853.6,1034,1382.7,1673.1
Albemarle County,15th,1404,1487,1729,2155,2621,1544.4,1635.7,1901.9,2370.5,2883.1
Alexandria city,1st,2012,2056,2314,2893,3413,2213.2,2261.6,2545.4,3182.3,3754.3
Alleghany County,109th,736,738,851,1192,1281,809.6,811.8,936.1,1311.2,1409.1
Amelia County,20th,1488,1545,1711,2166,2677,1636.8,1699.5,1882.1,2382.6,2944.7
Amherst County,64th,1043,1062,1200,1647,1785,1147.3,1168.2,1320,1811.7,1963.5
Appomattox County,64th,1043,1062,1200,1647,1785,1147.3,1168.2,1320,1811.7,1963.5
Arlington County,1st,2012,2056,2314,2893,3413,2213.2,2261.6,2545.4,3182.3,3754.3
Augusta County,59th,1107,1114,1282,1796,2092,1217.7,1225.4,1410.2,1975.6,2301.2
Bath County,106th,698,702,867,1128,1355,767.8,772.2,953.7,1240.8,1490.5
Bedford County,64th,1043,1062,1200,1647,1785,1147.3,1168.2,1320,1811.7,1963.5
Bland County,109th,685,689,851,1192,1330,753.5,757.9,936.1,1311.2,1463
Botetourt County,73rd,892,948,1141,1597,1885,981.2,1042.8,1255.1,1756.7,2073.5
Bristol city,85th,738,824,1043,1343,1538,811.8,906.4,1147.3,1477.3,1691.8
Brunswick County,109th,685,689,851,1192,1340,753.5,757.9,936.1,1311.2,1474
Buchanan County,109th,670,674,851,1130,1429,737,741.4,936.1,1243,1571.9
Buckingham County,93rd,809,834,935,1180,1342,889.9,917.4,1028.5,1298,1476.2
Buena Vista city,99th,777,812,899,1260,1510,854.7,893.2,988.9,1386,1661
Campbell County,64th,1043,1062,1200,1647,1785,1147.3,1168.2,1320,1811.7,1963.5
Caroline County,78th,901,906,1119,1568,1859,991.1,996.6,1230.9,1724.8,2044.9
Carroll County,109th,701,706,851,1192,1402,771.1,776.6,936.1,1311.2,1542.2
Charles City County,20th,1488,1545,1711,2166,2677,1636.8,1699.5,1882.1,2382.6,2944.7
Charlotte County,109th,644,649,851,1079,1429,708.4,713.9,936.1,1186.9,1571.9
Charlottesville city,15th,1404,1487,1729,2155,2621,1544.4,1635.7,1901.9,2370.5,2883.1
Chesapeake city,36th,1475,1483,1696,2361,2809,1622.5,1631.3,1865.6,2597.1,3089.9
Chesterfield County,20th,1488,1545,1711,2166,2677,1636.8,1699.5,1882.1,2382.6,2944.7
Clarke County,1st,2012,2056,2314,2893,3413,2213.2,2261.6,2545.4,3182.3,3754.3
Colonial Heights city,20th,1488,1545,1711,2166,2677,1636.8,1699.5,1882.1,2382.6,2944.7
