County,1 Adult: 19–50 Years,2 Adults: 19–50 Years,1 Adult + 1 Child,2 Adults + 2 Children,1 Adult: 65+,2 Adults: 65+
Accomack County,970,970,1175,1571.25,970,970
Albemarle County,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75
Alexandria city,2570,2570,2892.5,3616.25,2570,2570
Alleghany County,922.5,922.5,1063.75,1490,922.5,922.5
Amelia County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Amherst County,1327.5,1327.5,1500,2058.75,1327.5,1327.5
Appomattox County,1327.5,1327.5,1500,2058.75,1327.5,1327.5
Arlington County,2570,2570,2892.5,3616.25,2570,2570
Augusta County,1392.5,1392.5,1602.5,2245,1392.5,1392.5
Bath County,877.5,877.5,1083.75,1410,877.5,877.5
Bedford County,1327.5,1327.5,1500,2058.75,1327.5,1327.5
Bland County,861.25,861.25,1063.75,1490,861.25,861.25
Botetourt County,1185,1185,1426.25,1996.25,1185,1185
Bristol city,1030,1030,1303.75,1678.75,1030,1030
Brunswick County,861.25,861.25,1063.75,1490,861.25,861.25
Buchanan County,842.5,842.5,1063.75,1412.5,842.5,842.5
Buckingham County,1042.5,1042.5,1168.75,1475,1042.5,1042.5
Buena Vista city,1015,1015,1123.75,1575,1015,1015
Campbell County,1327.5,1327.5,1500,2058.75,1327.5,1327.5
Caroline County,1132.5,1132.5,1398.75,1960,1132.5,1132.5
Carroll County,882.5,882.5,1063.75,1490,882.5,882.5
Charles City County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Charlotte County,811.25,811.25,1063.75,1348.75,811.25,811.25
Charlottesville city,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75
Chesapeake city,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Chesterfield County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Clarke County,2570,2570,2892.5,3616.25,2570,2570
Colonial Heights city,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Covington city,922.5,922.5,1063.75,1490,922.5,922.5
Craig County,1185,1185,1426.25,1996.25,1185,1185
Culpeper County,1435,1435,1776.25,2352.5,1435,1435
Cumberland County,923.75,923.75,1141.25,1375,923.75,923.75
Danville city,858.75,858.75,1063.75,1456.25,858.75,858.75
Dickenson County,861.25,861.25,1063.75,1281.25,861.25,861.25
Dinwiddie County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Emporia city,888.75,888.75,1166.25,1593.75,888.75,888.75
Essex County,1018.75,1018.75,1257.5,1557.5,1018.75,1018.75
Fairfax County,2570,2570,2892.5,3616.25,2570,2570
Fairfax city,2570,2570,2892.5,3616.25,2570,2570
Falls Church city,2570,2570,2892.5,3616.25,2570,2570
Fauquier County,2570,2570,2892.5,3616.25,2570,2570
Floyd County,868.75,868.75,1140,1436.25,868.75,868.75
Fluvanna County,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75
Franklin County,975,975,1088.75,1525,975,975
Franklin city,1112.5,1112.5,1458.75,1865,1112.5,1112.5
Frederick County,1566.25,1566.25,1961.25,2440,1566.25,1566.25
Fredericksburg city,2570,2570,2892.5,3616.25,2570,2570
Galax city,882.5,882.5,1063.75,1490,882.5,882.5
Giles County,1068.75,1068.75,1183.75,1475,1068.75,1068.75
Gloucester County,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Goochland County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Grayson County,961.25,961.25,1063.75,1440,961.25,961.25
Greene County,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75
Greensville County,888.75,888.75,1166.25,1593.75,888.75,888.75
Halifax County,943.75,943.75,1063.75,1352.5,943.75,943.75
Hampton city,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Hanover County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Harrisonburg city,1360,1360,1740,2353.75,1360,1360
Henrico County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Henry County,850,850,1063.75,1281.25,850,850
Highland County,861.25,861.25,1063.75,1385,861.25,861.25
Hopewell city,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Isle of Wight County,1853.75,1853.75,2120,2951.25,1853.75,1853.75
James City County,1853.75,1853.75,2120,2951.25,1853.75,1853.75
King George County,1348.75,1348.75,1671.25,2341.25,1348.75,1348.75
King William County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
King and Queen County,1496.25,1496.25,1656.25,2056.25,1496.25,1496.25
Lancaster County,1042.5,1042.5,1287.5,1700,1042.5,1042.5
Lee County,872.5,872.5,1063.75,1383.75,872.5,872.5
Lexington city,1015,1015,1123.75,1575,1015,1015
Loudoun County,2570,2570,2892.5,3616.25,2570,2570
Louisa County,1258.75,1258.75,1393.75,1933.75,1258.75,1258.75
Lunenburg County,816.25,816.25,1071.25,1380,816.25,816.25
Lynchburg city,1327.5,1327.5,1500,2058.75,1327.5,1327.5
Madison County,1141.25,1141.25,1370,1701.25,1141.25,1141.25
Manassas Park city,2570,2570,2892.5,3616.25,2570,2570
Manassas city,2570,2570,2892.5,3616.25,2570,2570
Martinsville city,850,850,1063.75,1281.25,850,850
Mathews County,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Mecklenburg County,846.25,846.25,1110,1431.25,846.25,846.25
Middlesex County,1206.25,1206.25,1490,1795,1206.25,1206.25
Montgomery County,1210,1210,1538.75,2058.75,1210,1210
Nelson County,1858.75,1858.75,2161.25,2693.75,1858.75,1858.75
New Kent County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Newport News city,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Norfolk city,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Northampton County,843.75,843.75,1106.25,1536.25,843.75,843.75
Northumberland County,1190,1190,1468.75,1770,1190,1190
Norton city,826.25,826.25,1063.75,1408.75,826.25,826.25
Nottoway County,851.25,851.25,1117.5,1566.25,851.25,851.25
Orange County,1131.25,1131.25,1396.25,1956.25,1131.25,1131.25
Page County,943.75,943.75,1063.75,1343.75,943.75,943.75
Patrick County,876.25,876.25,1063.75,1292.5,876.25,876.25
Petersburg city,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Pittsylvania County,858.75,858.75,1063.75,1456.25,858.75,858.75
Poquoson city,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Portsmouth city,1853.75,1853.75,2120,2951.25,1853.75,1853.75
Powhatan County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Prince Edward County,1040,1040,1240,1493.75,1040,1040
Prince George County,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Prince William County,2570,2570,2892.5,3616.25,2570,2570
Pulaski County,1033.75,1033.75,1145,1562.5,1033.75,1033.75
Radford city,1210,1210,1538.75,2058.75,1210,1210
Rappahannock County,1536.25,1536.25,1701.25,2050,1536.25,1536.25
Richmond County,1007.5,1007.5,1320,1672.5,1007.5,1007.5
Richmond city,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25
Roanoke County,1185,1185,1426.25,1996.25,1185,1185
Roanoke city,1185,1185,1426.25,1996.25,1185,1185
Rockbridge County,1015,1015,1123.75,1575,1015,1015
Rockingham County,1360,1360,1740,2353.75,1360,1360
Russell County,845,845,1063.75,1305,845,845
Salem city,1185,1185,1426.25,1996.25,1185,1185
Scott County,1030,1030,1303.75,1678.75,1030,1030
Shenandoah County,1020,1020,1338.75,1775,1020,1020
Smyth County,902.5,902.5,1063.75,1373.75,902.5,902.5
