County,1 Adult (19-50),2 Adults (19-50),1 Adult + 1 Child (6-10),2 Adults + 2 Children (6-10),1 Adult (65+),2 Adults (65+)
Accomack County,4580.37,18740.54,9910.39,39662.53,5536.63,25308.52
Albemarle County,8579.75,29696.99,14299.23,53016.53,9483.18,36326
Alexandria City,10613.78,35299.15,17605.31,61520.34,11976.85,45116.5
Alleghany County,5061.14,19108.7,9699.06,41187.26,5932.87,25146.53
Amelia County,7422.73,25661.95,11944.42,46747.58,8410.69,32529.75
Amherst County,5626.44,20345.72,10042.47,40720.5,6635.53,27164.04
Appomattox Countys,5763.81,20816.97,10211.53,41622.89,6720.06,27355.49
Arlington County,11791.94,39453.24,20476.95,68874.89,13396.98,48500.97
Augusta County,6043.82,21671.1,10834.95,44177.7,6947.24,27959.27
Bath County,4617.35,18018.95,9360.94,39335.81,5695.12,25249.61
Bedford County,5980.42,21612.19,10454.56,42696.42,6899.69,27959.27
Bland County,4553.95,17753.88,9006.96,38215.6,5457.38,23983.14
Botetourt County,5425.68,21111.49,10433.42,43671.51,6318.54,27340.76
Brunswick County,4553.95,17297.36,8933,38433.42,5425.68,23335.18
Buchanan County,4955.48,18284.03,9223.57,37624.38,5964.57,25072.9
Buckingham County,4738.86,19079.25,9952.65,39895.91,5732.11,25823.94
Buena Vista City,4733.58,19329.6,9836.42,39802.56,5526.06,24955.08
Campbell County,5626.44,20345.72,10042.47,40720.5,6672.52,27370.21
Caroline County,6614.4,23718.07,11553.46,45839.03,7649.91,30772.01
Carroll County,4717.73,18666.91,9297.54,39740.32,5626.44,24955.08
Charles City,7591.79,26516.08,12694.05,48681.48,8595.6,33525.49
Charlotte County,4543.39,17223.72,8917.15,38308.95,5478.51,23659.16
Charlottesville City,8553.34,30462.76,14446.49,54924.47,9425.06,36979.45
Chesapeake City,7612.93,26147.92,12716.14,48746.38,8548.05,32732.01
Chesterfield County,8548.05,28990.12,14004.7,50939.86,9525.44,36061.51
