County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
Accomack,1668.58,3337.16,1668.58,3337.16,834.29,1668.58
Albemarle,1475.18,2950.36,1475.18,2950.36,737.59,1475.18
Alexandria,1262.24,2524.48,1262.24,2524.48,631.12,1262.24
Alleghany,1638.23,3276.46,1638.23,3276.46,819.12,1638.23
Amelia,1346.14,2692.28,1346.14,2692.28,673.07,1346.14
Amherst,1567.32,3134.64,1567.32,3134.64,783.66,1567.32
Appomattox,1629.29,3258.58,1629.29,3258.58,814.64,1629.29
Arlington,1026.17,2052.34,1026.17,2052.34,513.08,1026.17
Augusta,1706.31,3412.62,1706.31,3412.62,853.16,1706.31
Bath,1783.25,3566.5,1783.25,3566.5,891.62,1783.25
Bedford,1628.75,3257.5,1628.75,3257.5,814.38,1628.75
Bland,1650,3300,1650,3300,825,1650
Botetourt,1601.51,3203.02,1601.51,3203.02,800.76,1601.51
Bristol,1796.98,3593.96,1796.98,3593.96,898.49,1796.98
Brunswick,1512.71,3025.42,1512.71,3025.42,756.36,1512.71
Buchanan,1671.35,3342.7,1671.35,3342.7,835.68,1671.35
Buckingham,1443.48,2886.96,1443.48,2886.96,721.74,1443.48
Buena Vista,1702.88,3405.76,1702.88,3405.76,851.44,1702.88
Campbell,1694.12,3388.24,1694.12,3388.24,847.06,1694.12
Caroline,1488.42,2976.84,1488.42,2976.84,744.21,1488.42
Carroll,1697,3394,1697,3394,848.5,1697
Charles City,1437.86,2875.72,1437.86,2875.72,718.93,1437.86
Charlotte,1839.32,3678.64,1839.32,3678.64,919.66,1839.32
Charlottesville,1294.73,2589.46,1294.73,2589.46,647.36,1294.73
Chesapeake,1668.52,3337.04,1668.52,3337.04,834.26,1668.52
Chesterfield,1546.25,3092.5,1546.25,3092.5,773.12,1546.25
Clarke,1505.02,3010.04,1505.02,3010.04,752.51,1505.02
Colonial Heights,1799.62,3599.24,1799.62,3599.24,899.81,1799.62
Covington,1638.9,3277.8,1638.9,3277.8,819.45,1638.9
Craig,1630.15,3260.3,1630.15,3260.3,815.08,1630.15
Culpeper,1601.9,3203.8,1601.9,3203.8,800.95,1601.9
Cumberland,1504.56,3009.12,1504.56,3009.12,752.28,1504.56
Danville,1888.95,3777.9,1888.95,3777.9,944.48,1888.95
Dickenson,1635.84,3271.68,1635.84,3271.68,817.92,1635.84
Dinwiddie,1586.58,3173.16,1586.58,3173.16,793.29,1586.58
Emporia,1922.2,3844.4,1922.2,3844.4,961.1,1922.2
Essex,1564.48,3128.96,1564.48,3128.96,782.24,1564.48
Fairfax,1256.25,2512.5,1256.25,2512.5,628.12,1256.25
Fairfax,1282.96,2565.92,1282.96,2565.92,641.48,1282.96
Falls Church,1198.79,2397.58,1198.79,2397.58,599.4,1198.79
Fauquier,1517.72,3035.44,1517.72,3035.44,758.86,1517.72
Floyd,1557.38,3114.76,1557.38,3114.76,778.69,1557.38
Fluvanna,1487.1,2974.2,1487.1,2974.2,743.55,1487.1
Franklin,2012.33,4024.66,2012.33,4024.66,1006.16,2012.33
Franklin,1513.69,3027.38,1513.69,3027.38,756.84,1513.69
Frederick,1570.46,3140.92,1570.46,3140.92,785.23,1570.46
Fredericksburg,1762.06,3524.12,1762.06,3524.12,881.03,1762.06
Galax,2012.18,4024.36,2012.18,4024.36,1006.09,2012.18
Giles,1779.33,3558.66,1779.33,3558.66,889.66,1779.33
Gloucester,1614.73,3229.46,1614.73,3229.46,807.36,1614.73
Goochland,1515.85,3031.7,1515.85,3031.7,757.92,1515.85
Grayson,1588.96,3177.92,1588.96,3177.92,794.48,1588.96
Greene,1560.39,3120.78,1560.39,3120.78,780.2,1560.39
Greensville,1692.56,3385.12,1692.56,3385.12,846.28,1692.56
Halifax,1640.44,3280.88,1640.44,3280.88,820.22,1640.44
Hampton,1822.42,3644.84,1822.42,3644.84,911.21,1822.42
Hanover,1543.82,3087.64,1543.82,3087.64,771.91,1543.82
Harrisonburg,1601.42,3202.84,1601.42,3202.84,800.71,1601.42
Henrico,1560.35,3120.7,1560.35,3120.7,780.18,1560.35
Henry,1769.37,3538.74,1769.37,3538.74,884.68,1769.37
Highland,1210.61,2421.22,1210.61,2421.22,605.3,1210.61
Hopewell,1750.38,3500.76,1750.38,3500.76,875.19,1750.38
Isle Of Wight,1665.99,3331.98,1665.99,3331.98,833,1665.99
James City,1635.42,3270.84,1635.42,3270.84,817.71,1635.42
King George,1505.63,3011.26,1505.63,3011.26,752.82,1505.63
King William,1553.8,3107.6,1553.8,3107.6,776.9,1553.8
King and Queen,1388.36,2776.72,1388.36,2776.72,694.18,1388.36
Lancaster,1640.42,3280.84,1640.42,3280.84,820.21,1640.42
Lee,1801.8,3603.6,1801.8,3603.6,900.9,1801.8
Lexington,1275.76,2551.52,1275.76,2551.52,637.88,1275.76
Loudoun,1311.58,2623.16,1311.58,2623.16,655.79,1311.58
Louisa,1570.15,3140.3,1570.15,3140.3,785.08,1570.15
Lunenburg,1587.67,3175.34,1587.67,3175.34,793.84,1587.67
Lynchburg,1703.62,3407.24,1703.62,3407.24,851.81,1703.62
Madison,1469.1,2938.2,1469.1,2938.2,734.55,1469.1
Manassas,1499.48,2998.96,1499.48,2998.96,749.74,1499.48
Manassas Park,1493.09,2986.18,1493.09,2986.18,746.54,1493.09
Martinsville,1949.81,3899.62,1949.81,3899.62,974.9,1949.81
Mathews,1537.09,3074.18,1537.09,3074.18,768.54,1537.09
Mecklenburg,1689.6,3379.2,1689.6,3379.2,844.8,1689.6
Middlesex,1421.54,2843.08,1421.54,2843.08,710.77,1421.54
Montgomery,1561.48,3122.96,1561.48,3122.96,780.74,1561.48
Nelson,1336.38,2672.76,1336.38,2672.76,668.19,1336.38
New Kent,1376.15,2752.3,1376.15,2752.3,688.08,1376.15
Newport News,1829.43,3658.86,1829.43,3658.86,914.72,1829.43
Norfolk,1815.15,3630.3,1815.15,3630.3,907.58,1815.15
Northampton,1591.9,3183.8,1591.9,3183.8,795.95,1591.9
Northumberland,1370.21,2740.42,1370.21,2740.42,685.1,1370.21
Norton,1875.5,3751,1875.5,3751,937.75,1875.5
Nottoway,1726.84,3453.68,1726.84,3453.68,863.42,1726.84
Orange,1526.48,3052.96,1526.48,3052.96,763.24,1526.48
Page,1576.49,3152.98,1576.49,3152.98,788.24,1576.49
Patrick,1514.77,3029.54,1514.77,3029.54,757.38,1514.77
Petersburg,1917,3834,1917,3834,958.5,1917
Pittsylvania,1751.4,3502.8,1751.4,3502.8,875.7,1751.4
Poquoson,1652.29,3304.58,1652.29,3304.58,826.14,1652.29
Portsmouth,1758.57,3517.14,1758.57,3517.14,879.28,1758.57
