County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
"Accomack County, Virginia",1129.5,2259,1129.5,2259,338.85,677.7
"Albemarle County, Virginia",1042.53,2085.07,1042.53,2085.07,312.76,625.52
"Alleghany County, Virginia",1163.67,2327.33,1163.67,2327.33,349.1,698.2
"Amelia County, Virginia",968.6,1937.2,968.6,1937.2,290.58,581.16
"Amherst County, Virginia",1100.09,2200.17,1100.09,2200.17,330.03,660.05
"Appomattox County, Virginia",1180.72,2361.44,1180.72,2361.44,354.22,708.43
"Arlington County, Virginia",726.15,1452.3,726.15,1452.3,217.85,435.69
"Augusta County, Virginia",1218.52,2437.03,1218.52,2437.03,365.56,731.11
"Bath County, Virginia",1307.33,2614.65,1307.33,2614.65,392.2,784.4
"Bedford County, Virginia",1164.31,2328.62,1164.31,2328.62,349.29,698.59
"Bland County, Virginia",1152.27,2304.55,1152.27,2304.55,345.68,691.36
"Botetourt County, Virginia",1146.51,2293.03,1146.51,2293.03,343.95,687.91
"Brunswick County, Virginia",1069.61,2139.22,1069.61,2139.22,320.88,641.76
"Buchanan County, Virginia",1185.78,2371.56,1185.78,2371.56,355.73,711.47
"Buckingham County, Virginia",1008.61,2017.22,1008.61,2017.22,302.58,605.16
"Campbell County, Virginia",1207.48,2414.96,1207.48,2414.96,362.24,724.49
"Caroline County, Virginia",1023.5,2047,1023.5,2047,307.05,614.1
"Carroll County, Virginia",1184.31,2368.62,1184.31,2368.62,355.29,710.58
"Charles City County, Virginia",1032.69,2065.37,1032.69,2065.37,309.81,619.61
"Charlotte County, Virginia",1315.47,2630.94,1315.47,2630.94,394.64,789.28
"Chesterfield County, Virginia",1095.01,2190.02,1095.01,2190.02,328.5,657.01
"Clarke County, Virginia",1069.94,2139.88,1069.94,2139.88,320.98,641.96
"Craig County, Virginia",1163.21,2326.42,1163.21,2326.42,348.96,697.93
"Culpeper County, Virginia",1105.32,2210.63,1105.32,2210.63,331.59,663.19
"Cumberland County, Virginia",1061.92,2123.85,1061.92,2123.85,318.58,637.16
"Dickenson County, Virginia",1114.27,2228.54,1114.27,2228.54,334.28,668.56
"Dinwiddie County, Virginia",1113.79,2227.58,1113.79,2227.58,334.14,668.27
"Essex County, Virginia",1104.64,2209.28,1104.64,2209.28,331.39,662.78
"Fairfax County, Virginia",895.97,1791.94,895.97,1791.94,268.79,537.58
"Fauquier County, Virginia",1079.72,2159.44,1079.72,2159.44,323.92,647.83
"Floyd County, Virginia",1090.15,2180.31,1090.15,2180.31,327.05,654.09
"Fluvanna County, Virginia",1030.93,2061.85,1030.93,2061.85,309.28,618.56
"Franklin County, Virginia",1072.15,2144.3,1072.15,2144.3,321.65,643.29
"Frederick County, Virginia",1108.96,2217.92,1108.96,2217.92,332.69,665.38
"Giles County, Virginia",1253.23,2506.47,1253.23,2506.47,375.97,751.94
"Gloucester County, Virginia",1177.23,2354.45,1177.23,2354.45,353.17,706.34
"Goochland County, Virginia",1104.05,2208.11,1104.05,2208.11,331.22,662.43
"Grayson County, Virginia",1110.29,2220.58,1110.29,2220.58,333.09,666.17
"Greene County, Virginia",1085.4,2170.8,1085.4,2170.8,325.62,651.24
"Greensville County, Virginia",1151.69,2303.38,1151.69,2303.38,345.51,691.01
"Halifax County, Virginia",1141.73,2283.45,1141.73,2283.45,342.52,685.04
"Hanover County, Virginia",1113.48,2226.96,1113.48,2226.96,334.04,668.09
"Henrico County, Virginia",1108.47,2216.93,1108.47,2216.93,332.54,665.08
"Henry County, Virginia",1254.34,2508.69,1254.34,2508.69,376.3,752.61
"Highland County, Virginia",894.34,1788.68,894.34,1788.68,268.3,536.6
"Isle of Wight County, Virginia",1191.58,2383.16,1191.58,2383.16,357.47,714.95
"James City County, Virginia",1172.36,2344.72,1172.36,2344.72,351.71,703.42
"King and Queen County, Virginia",1050.27,2100.54,1050.27,2100.54,315.08,630.16
"King George County, Virginia",1095.55,2191.1,1095.55,2191.1,328.67,657.33
"King William County, Virginia",982.28,1964.56,982.28,1964.56,294.68,589.37
"Lancaster County, Virginia",1198.22,2396.44,1198.22,2396.44,359.47,718.93
"Lee County, Virginia",1296.9,2593.8,1296.9,2593.8,389.07,778.14
"Loudoun County, Virginia",920.9,1841.81,920.9,1841.81,276.27,552.54
"Louisa County, Virginia",1085.55,2171.09,1085.55,2171.09,325.66,651.33
"Lunenburg County, Virginia",1116.17,2232.34,1116.17,2232.34,334.85,669.7
"Madison County, Virginia",1036.57,2073.14,1036.57,2073.14,310.97,621.94
"Mathews County, Virginia",1103.32,2206.63,1103.32,2206.63,331,661.99
"Mecklenburg County, Virginia",1223.23,2446.45,1223.23,2446.45,366.97,733.94
"Middlesex County, Virginia",1009.64,2019.28,1009.64,2019.28,302.89,605.78
"Montgomery County, Virginia",1118.39,2236.78,1118.39,2236.78,335.52,671.04
