County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
"Accomack County, Virginia",960.07,1920.15,960.07,1920.15,288.02,576.04
"Albemarle County, Virginia",886.15,1772.31,886.15,1772.31,265.85,531.69
"Alleghany County, Virginia",989.12,1978.23,989.12,1978.23,296.73,593.47
"Amelia County, Virginia",823.31,1646.62,823.31,1646.62,246.99,493.99
"Amherst County, Virginia",935.07,1870.15,935.07,1870.15,280.52,561.04
"Appomattox County, Virginia",1003.61,2007.22,1003.61,2007.22,301.08,602.17
"Arlington County, Virginia",617.23,1234.46,617.23,1234.46,185.17,370.34
"Augusta County, Virginia",1035.74,2071.48,1035.74,2071.48,310.72,621.44
"Bath County, Virginia",1111.23,2222.45,1111.23,2222.45,333.37,666.74
"Bedford County, Virginia",989.66,1979.33,989.66,1979.33,296.9,593.8
"Bland County, Virginia",979.43,1958.87,979.43,1958.87,293.83,587.66
"Botetourt County, Virginia",974.54,1949.07,974.54,1949.07,292.36,584.72
"Brunswick County, Virginia",909.17,1818.33,909.17,1818.33,272.75,545.5
"Buchanan County, Virginia",1007.91,2015.83,1007.91,2015.83,302.37,604.75
"Buckingham County, Virginia",857.32,1714.63,857.32,1714.63,257.19,514.39
"Campbell County, Virginia",1026.36,2052.72,1026.36,2052.72,307.91,615.82
"Caroline County, Virginia",869.98,1739.95,869.98,1739.95,260.99,521.99
"Carroll County, Virginia",1006.66,2013.32,1006.66,2013.32,302,604
"Charles City County, Virginia",877.78,1755.57,877.78,1755.57,263.34,526.67
"Charlotte County, Virginia",1118.15,2236.3,1118.15,2236.3,335.44,670.89
"Chesterfield County, Virginia",930.76,1861.52,930.76,1861.52,279.23,558.46
"Clarke County, Virginia",909.45,1818.9,909.45,1818.9,272.83,545.67
"Craig County, Virginia",988.73,1977.46,988.73,1977.46,296.62,593.24
"Culpeper County, Virginia",939.52,1879.04,939.52,1879.04,281.86,563.71
"Cumberland County, Virginia",902.64,1805.27,902.64,1805.27,270.79,541.58
"Dickenson County, Virginia",947.13,1894.26,947.13,1894.26,284.14,568.28
"Dinwiddie County, Virginia",946.72,1893.44,946.72,1893.44,284.02,568.03
"Essex County, Virginia",938.94,1877.88,938.94,1877.88,281.68,563.37
"Fairfax County, Virginia",761.58,1523.15,761.58,1523.15,228.47,456.95
"Fauquier County, Virginia",917.76,1835.52,917.76,1835.52,275.33,550.66
"Floyd County, Virginia",926.63,1853.26,926.63,1853.26,277.99,555.98
"Fluvanna County, Virginia",876.29,1752.57,876.29,1752.57,262.89,525.77
"Franklin County, Virginia",911.33,1822.66,911.33,1822.66,273.4,546.8
"Frederick County, Virginia",942.62,1885.23,942.62,1885.23,282.78,565.57
"Giles County, Virginia",1065.25,2130.5,1065.25,2130.5,319.57,639.15
"Gloucester County, Virginia",1000.64,2001.28,1000.64,2001.28,300.19,600.39
"Goochland County, Virginia",938.45,1876.89,938.45,1876.89,281.53,563.07
"Grayson County, Virginia",943.75,1887.49,943.75,1887.49,283.12,566.25
"Greene County, Virginia",922.59,1845.18,922.59,1845.18,276.78,553.55
"Greensville County, Virginia",978.94,1957.87,978.94,1957.87,293.68,587.36
"Halifax County, Virginia",970.47,1940.93,970.47,1940.93,291.14,582.28
"Hanover County, Virginia",946.46,1892.91,946.46,1892.91,283.94,567.87
"Henrico County, Virginia",942.2,1884.39,942.2,1884.39,282.66,565.32
"Henry County, Virginia",1066.19,2132.38,1066.19,2132.38,319.86,639.72
