County,Total_Workers,Car_Alone,Carpool,Public_Transit,Car_Total,Car_Share,Transit_Share,Car_Cost,Transit_Cost,Weighted_Transportation_Cost
Geographic Area Name,NA,NA,NA,NA,NA,NA,NA,9000,900,NA
Virginia,4308387,2980565,96490,353446,3077055,0.7142,0.082,9000,900,6501.6
"Autauga County, Alabama",26976,22907,1074,2208,23981,0.889,0.0819,9000,900,8074.71
"Baldwin County, Alabama",108241,86914,3534,7512,90448,0.8356,0.0694,9000,900,7582.86
"Barbour County, Alabama",8470,6980,248,818,7228,0.8534,0.0966,9000,900,7767.54
"Bibb County, Alabama",8326,7318,279,541,7597,0.9124,0.065,9000,900,8270.1
"Blount County, Alabama",25141,21389,923,2243,22312,0.8875,0.0892,9000,900,8067.78
"Bullock County, Alabama",3544,3107,48,359,3155,0.8902,0.1013,9000,900,8102.97
"Butler County, Alabama",7365,6271,215,602,6486,0.8807,0.0817,9000,900,7999.83
"Calhoun County, Alabama",48427,41217,1767,4107,42984,0.8876,0.0848,9000,900,8064.72
"Chambers County, Alabama",14113,12133,351,1086,12484,0.8846,0.077,9000,900,8030.7
"Cherokee County, Alabama",10223,8768,355,818,9123,0.8924,0.08,9000,900,8103.6
"Chilton County, Alabama",18600,15306,444,1781,15750,0.8468,0.0958,9000,900,7707.42
"Choctaw County, Alabama",4472,3660,231,556,3891,0.8701,0.1243,9000,900,7942.77
"Clarke County, Alabama",7843,6991,134,351,7125,0.9085,0.0448,9000,900,8216.82
"Clay County, Alabama",5464,4391,93,520,4484,0.8206,0.0952,9000,900,7471.08
"Cleburne County, Alabama",5944,5178,207,559,5385,0.906,0.094,9000,900,8238.6
"Coffee County, Alabama",23079,19646,637,1996,20283,0.8789,0.0865,9000,900,7987.95
"Colbert County, Alabama",25611,21225,834,2186,22059,0.8613,0.0854,9000,900,7828.56
"Conecuh County, Alabama",3374,2822,73,206,2895,0.858,0.0611,9000,900,7776.99
"Coosa County, Alabama",3868,3057,54,332,3111,0.8043,0.0858,9000,900,7315.92
"Covington County, Alabama",14971,13072,571,1233,13643,0.9113,0.0824,9000,900,8275.86
"Crenshaw County, Alabama",5161,4068,75,666,4143,0.8028,0.129,9000,900,7341.3
"Cullman County, Alabama",39147,32655,1270,4466,33925,0.8666,0.1141,9000,900,7902.09
"Dale County, Alabama",19531,16155,465,1707,16620,0.851,0.0874,9000,900,7737.66
"Dallas County, Alabama",13672,11565,241,1105,11806,0.8635,0.0808,9000,900,7844.22
"DeKalb County, Alabama",30110,24567,1030,3878,25597,0.8501,0.1288,9000,900,7766.82
"Elmore County, Alabama",39304,33038,1193,2395,34231,0.8709,0.0609,9000,900,7892.91
"Escambia County, Alabama",12655,11266,540,994,11806,0.9329,0.0785,9000,900,8466.75
"Etowah County, Alabama",42546,37267,1127,2866,38394,0.9024,0.0674,9000,900,8182.26
"Fayette County, Alabama",6045,5354,206,547,5560,0.9198,0.0905,9000,900,8359.65
"Franklin County, Alabama",13305,11349,471,1701,11820,0.8884,0.1278,9000,900,8110.62
"Geneva County, Alabama",10862,9527,388,803,9915,0.9128,0.0739,9000,900,8281.71
"Greene County, Alabama",2243,1781,0,316,1781,0.794,0.1409,9000,900,7272.81
"Hale County, Alabama",5390,4679,52,528,4731,0.8777,0.098,9000,900,7987.5
"Henry County, Alabama",7249,6243,255,612,6498,0.8964,0.0844,9000,900,8143.56
"Houston County, Alabama",46126,39458,1391,3810,40849,0.8856,0.0826,9000,900,8044.74
"Jackson County, Alabama",20720,17471,515,1925,17986,0.8681,0.0929,9000,900,7896.51
"Jefferson County, Alabama",304796,238585,8005,25192,246590,0.809,0.0827,9000,900,7355.43
"Lamar County, Alabama",5059,4209,168,501,4377,0.8652,0.099,9000,900,7875.9
"Lauderdale County, Alabama",42652,34245,1771,4690,36016,0.8444,0.11,9000,900,7698.6
"Lawrence County, Alabama",14333,12695,403,1021,13098,0.9138,0.0712,9000,900,8288.28
"Lee County, Alabama",81788,64997,2788,6222,67785,0.8288,0.0761,9000,900,7527.69
"Limestone County, Alabama",49134,40700,1522,2931,42222,0.8593,0.0597,9000,900,7787.43
"Lowndes County, Alabama",3506,3004,52,262,3056,0.8716,0.0747,9000,900,7911.63
"Macon County, Alabama",7207,5343,342,620,5685,0.7888,0.086,9000,900,7176.6
"Madison County, Alabama",195775,151140,5159,13802,156299,0.7984,0.0705,9000,900,7249.05
"Marengo County, Alabama",7309,6070,349,639,6419,0.8782,0.0874,9000,900,7982.46
"Marion County, Alabama",10840,9619,277,721,9896,0.9129,0.0665,9000,900,8275.95
"Marshall County, Alabama",41342,33969,1449,4416,35418,0.8567,0.1068,9000,900,7806.42
"Mobile County, Alabama",176096,146570,4480,12193,151050,0.8578,0.0692,9000,900,7782.48
"Monroe County, Alabama",6328,5710,267,299,5977,0.9445,0.0473,9000,900,8543.07
"Montgomery County, Alabama",97793,79120,2297,9037,81417,0.8325,0.0924,9000,900,7575.66
"Morgan County, Alabama",53963,45344,1683,4506,47027,0.8715,0.0835,9000,900,7918.65
"Perry County, Alabama",2013,1624,61,218,1685,0.8371,0.1083,9000,900,7631.37
"Pickens County, Alabama",6612,5850,231,335,6081,0.9197,0.0507,9000,900,8322.93
"Pike County, Alabama",14217,12050,566,1013,12616,0.8874,0.0713,9000,900,8050.77
"Randolph County, Alabama",9008,7301,131,714,7432,0.825,0.0793,9000,900,7496.37
"Russell County, Alabama",23637,18874,446,1918,19320,0.8174,0.0811,9000,900,7429.59
"St. Clair County, Alabama",41794,34415,1135,2692,35550,0.8506,0.0644,9000,900,7713.36
"Shelby County, Alabama",114372,87763,3548,7780,91311,0.7984,0.068,9000,900,7246.8
"Sumter County, Alabama",4103,3356,140,253,3496,0.8521,0.0617,9000,900,7724.43
"Talladega County, Alabama",31193,25771,880,3402,26651,0.8544,0.1091,9000,900,7787.79
"Tallapoosa County, Alabama",16255,13808,681,1427,14489,0.8914,0.0878,9000,900,8101.62
"Tuscaloosa County, Alabama",108640,86477,3763,11476,90240,0.8306,0.1056,9000,900,7570.44
"Walker County, Alabama",25776,21550,861,2720,22411,0.8695,0.1055,9000,900,7920.45
"Washington County, Alabama",5772,4947,61,351,5008,0.8676,0.0608,9000,900,7863.12
"Wilcox County, Alabama",3212,2780,208,268,2988,0.9303,0.0834,9000,900,8447.76
"Winston County, Alabama",9576,7162,240,1644,7402,0.773,0.1717,9000,900,7111.53
"Aleutians East Borough, Alaska",2261,516,11,185,527,0.2331,0.0818,9000,900,2171.52
"Aleutians West Census Area, Alaska",3454,1733,126,361,1859,0.5382,0.1045,9000,900,4937.85
"Anchorage Municipality, Alaska",148502,105485,3556,18351,109041,0.7343,0.1236,9000,900,6719.94
"Bethel Census Area, Alaska",6416,1252,29,639,1281,0.1997,0.0996,9000,900,1886.94
"Bristol Bay Borough, Alaska",465,276,9,32,285,0.6129,0.0688,9000,900,5578.02
"Chugach Census Area, Alaska",3491,2300,56,369,2356,0.67490000000000006,0.1057,9000,900,6169.23
"Copper River Census Area, Alaska",1036,698,6,47,704,0.6795,0.0454,9000,900,6156.36
"Denali Borough, Alaska",1379,348,22,406,370,0.2683,0.2944,9000,900,2679.66
"Dillingham Census Area, Alaska",1734,598,27,340,625,0.3604,0.1961,9000,900,3420.09
"Fairbanks North Star Borough, Alaska",48007,34817,1141,5949,35958,0.749,0.1239,9000,900,6852.51
"Haines Borough, Alaska",821,445,10,87,455,0.5542,0.106,9000,900,5083.2
"Hoonah-Angoon Census Area, Alaska",1002,397,16,32,413,0.4122,0.0319,9000,900,3738.51
"Juneau City and Borough, Alaska",16496,10713,255,1972,10968,0.6649,0.1195,9000,900,6091.65
"Kenai Peninsula Borough, Alaska",24322,16239,548,2817,16787,0.6902,0.1158,9000,900,6316.02
"Ketchikan Gateway Borough, Alaska",6966,4743,109,984,4852,0.6965,0.1413,9000,900,6395.67
"Kodiak Island Borough, Alaska",6684,4200,115,983,4315,0.6456,0.1471,9000,900,5942.79
"Kusilvak Census Area, Alaska",2336,103,2,44,105,0.0449,0.0188,9000,900,421.02
"Lake and Peninsula Borough, Alaska",509,194,9,22,203,0.3988,0.0432,9000,900,3628.08
"Matanuska-Susitna Borough, Alaska",47275,34140,1511,4517,35651,0.7541,0.0955,9000,900,6872.85
"Nome Census Area, Alaska",3607,1067,61,378,1128,0.3127,0.1048,9000,900,2908.62
"North Slope Borough, Alaska",6133,1162,115,1240,1277,0.2082,0.2022,9000,900,2055.78
"Northwest Arctic Borough, Alaska",2392,354,5,282,359,0.1501,0.1179,9000,900,1457.01
"Petersburg Borough, Alaska",1746,912,32,173,944,0.5407,0.0991,9000,900,4955.49
"Prince of Wales-Hyder Census Area, Alaska",2556,1376,51,405,1427,0.5583,0.1585,9000,900,5167.35
"Sitka City and Borough, Alaska",4543,2792,48,472,2840,0.6251,0.1039,9000,900,5719.41
"Skagway Municipality, Alaska",784,308,0,7,308,0.3929,0.0089,9000,900,3544.11
"Southeast Fairbanks Census Area, Alaska",2847,1848,50,275,1898,0.6667,0.0966,9000,900,6087.24
"Wrangell City and Borough, Alaska",836,519,25,65,544,0.6507,0.0778,9000,900,5926.32
"Yakutat City and Borough, Alaska",290,110,0,42,110,0.3793,0.1448,9000,900,3544.02
"Yukon-Koyukuk Census Area, Alaska",2380,730,3,210,733,0.308,0.0882,9000,900,2851.38
"Apache County, Arizona",18374,14782,302,856,15084,0.8209,0.0466,9000,900,7430.04
"Cochise County, Arizona",46037,35124,1351,4067,36475,0.7923,0.0883,9000,900,7210.17
"Coconino County, Arizona",66959,44286,1818,7061,46104,0.6885,0.1055,9000,900,6291.45
"Gila County, Arizona",18856,12886,397,3186,13283,0.7044,0.169,9000,900,6491.7
"Graham County, Arizona",13975,11011,388,1920,11399,0.8157,0.1374,9000,900,7464.96
"Greenlee County, Arizona",4111,3292,121,641,3413,0.8302,0.1559,9000,900,7612.11
"La Paz County, Arizona",5300,3881,67,566,3948,0.7449,0.1068,9000,900,6800.22
"Maricopa County, Arizona",2186946,1456560,54609,210018,1511169,0.691,0.096,9000,900,6305.4
"Mohave County, Arizona",74577,57180,1617,8085,58797,0.7884,0.1084,9000,900,7193.16
"Navajo County, Arizona",33936,25651,638,3245,26289,0.7747,0.0956,9000,900,7058.34
"Pima County, Arizona",467776,330753,12053,44968,342806,0.7328,0.0961,9000,900,6681.69
"Pinal County, Arizona",178072,125991,4461,19735,130452,0.7326,0.1108,9000,900,6693.12
"Santa Cruz County, Arizona",18476,14509,366,2033,14875,0.8051,0.11,9000,900,7344.9
"Yavapai County, Arizona",94528,68463,2123,9315,70586,0.7467,0.0985,9000,900,6808.95
"Yuma County, Arizona",78578,61620,2257,8731,63877,0.8129,0.1111,9000,900,7416.09
"Arkansas County, Arkansas",7290,6353,165,704,6518,0.8941,0.0966,9000,900,8133.84
"Ashley County, Arkansas",6584,5719,151,432,5870,0.8916,0.0656,9000,900,8083.44
"Baxter County, Arkansas",14557,11266,399,1932,11665,0.8013,0.1327,9000,900,7331.13
"Benton County, Arkansas",145217,109613,3802,11657,113415,0.781,0.0803,9000,900,7101.27
"Boone County, Arkansas",16128,12514,592,1518,13106,0.8126,0.0941,9000,900,7398.09
"Bradley County, Arkansas",3730,3260,93,225,3353,0.8989,0.0603,9000,900,8144.37
"Calhoun County, Arkansas",1860,1515,89,273,1604,0.86240000000000006,0.1468,9000,900,7893.72
"Carroll County, Arkansas",11364,8062,364,1233,8426,0.7415,0.1085,9000,900,6771.15
"Chicot County, Arkansas",3320,2893,4,199,2897,0.8726,0.0599,9000,900,7907.31
"Clark County, Arkansas",9532,7196,443,1050,7639,0.8014,0.1102,9000,900,7311.78
"Clay County, Arkansas",6084,4868,194,604,5062,0.832,0.0993,9000,900,7577.37
"Cleburne County, Arkansas",9229,7363,193,943,7556,0.8187,0.1022,9000,900,7460.28
"Cleveland County, Arkansas",2718,2330,89,189,2419,0.89,0.0695,9000,900,8072.55
"Columbia County, Arkansas",9321,7669,499,729,8168,0.8763,0.0782,9000,900,7957.08
"Conway County, Arkansas",8361,6761,233,1001,6994,0.8365,0.1197,9000,900,7636.23
"Craighead County, Arkansas",50271,41698,1739,4619,43437,0.8641,0.0919,9000,900,7859.61
"Crawford County, Arkansas",24605,20980,852,1933,21832,0.8873,0.0786,9000,900,8056.44
"Crittenden County, Arkansas",19709,15568,460,2600,16028,0.8132,0.1319,9000,900,7437.51
"Cross County, Arkansas",6680,5556,181,836,5737,0.8588,0.1251,9000,900,7841.79
"Dallas County, Arkansas",2520,2106,45,218,2151,0.8536,0.0865,9000,900,7760.25
"Desha County, Arkansas",3951,3379,4,389,3383,0.8562,0.0985,9000,900,7794.45
"Drew County, Arkansas",6416,5255,146,564,5401,0.8418,0.0879,9000,900,7655.31
"Faulkner County, Arkansas",59288,49214,1152,4367,50366,0.8495,0.0737,9000,900,7711.83
"Franklin County, Arkansas",6828,5717,202,748,5919,0.8669,0.1095,9000,900,7900.65
"Fulton County, Arkansas",4210,3338,214,426,3552,0.8437,0.1012,9000,900,7684.38
"Garland County, Arkansas",41478,33092,1082,4512,34174,0.8239,0.1088,9000,900,7513.02
"Grant County, Arkansas",7979,6371,192,585,6563,0.8225,0.0733,9000,900,7468.47
"Greene County, Arkansas",19505,16318,679,1851,16997,0.8714,0.0949,9000,900,7928.01
"Hempstead County, Arkansas",7488,6410,131,793,6541,0.8735,0.1059,9000,900,7956.81
"Hot Spring County, Arkansas",13057,10575,531,1599,11106,0.8506,0.1225,9000,900,7765.65
"Howard County, Arkansas",5113,4101,116,698,4217,0.8248,0.1365,9000,900,7546.05
"Independence County, Arkansas",16305,13218,835,1566,14053,0.8619,0.096,9000,900,7843.5
"Izard County, Arkansas",4264,3607,129,268,3736,0.8762,0.0629,9000,900,7942.41
"Jackson County, Arkansas",5744,4896,285,442,5181,0.902,0.0769,9000,900,8187.21
"Jefferson County, Arkansas",24881,21144,364,1556,21508,0.8644,0.0625,9000,900,7835.85
"Johnson County, Arkansas",10211,8609,294,880,8903,0.8719,0.0862,9000,900,7924.68
"Lafayette County, Arkansas",2115,1784,39,208,1823,0.8619,0.0983,9000,900,7845.57
"Lawrence County, Arkansas",6362,5369,260,605,5629,0.8848,0.0951,9000,900,8048.79
"Lee County, Arkansas",2287,1781,58,124,1839,0.8041,0.0542,9000,900,7285.68
"Lincoln County, Arkansas",3687,3068,136,305,3204,0.869,0.0827,9000,900,7895.43
"Little River County, Arkansas",4940,4242,201,395,4443,0.8994,0.08,9000,900,8166.6
"Logan County, Arkansas",8906,6805,245,1063,7050,0.7916,0.1194,9000,900,7231.86
"Lonoke County, Arkansas",35011,28264,1042,3585,29306,0.8371,0.1024,9000,900,7626.06
"Madison County, Arkansas",7482,5903,67,675,5970,0.7979,0.0902,9000,900,7262.28
"Marion County, Arkansas",5867,4343,163,866,4506,0.768,0.1476,9000,900,7044.84
"Miller County, Arkansas",16338,13485,450,1783,13935,0.8529,0.1091,9000,900,7774.29
"Mississippi County, Arkansas",16656,13481,507,2302,13988,0.8398,0.1382,9000,900,7682.58
"Monroe County, Arkansas",2398,2009,58,255,2067,0.862,0.1063,9000,900,7853.67
"Montgomery County, Arkansas",3109,2568,34,354,2602,0.8369,0.1139,9000,900,7634.61
"Nevada County, Arkansas",3051,2553,186,435,2739,0.8977,0.1426,9000,900,8207.64
"Newton County, Arkansas",2786,2030,136,235,2166,0.7775,0.0844,9000,900,7073.46
"Ouachita County, Arkansas",8432,7316,256,601,7572,0.898,0.0713,9000,900,8146.17
"Perry County, Arkansas",3880,3264,104,310,3368,0.868,0.0799,9000,900,7883.91
"Phillips County, Arkansas",5019,4011,96,586,4107,0.8183,0.1168,9000,900,7469.82
