County,Car_Share,Transit_Share,avg_vehicles_per_household,scaled_car_cost,Transit_Cost,Transportation_Cost,Assigned_Transit_Cost.x,Assigned_Transit_Cost.y
"Accomack County, Virginia",0.7419,0.1478,2.01,18090,900,13553.99,NA,NA
"Albemarle County, Virginia",0.6776,0.0774,2.04,18360,900,12510.4,NA,NA
"Alleghany County, Virginia",0.8821,0.0788,1.75,15750,900,13964,NA,NA
"Amelia County, Virginia",0.83,0.0497,1.55,13950,900,11623.23,NA,NA
"Amherst County, Virginia",0.8189,0.0914,1.78,16020,900,13201.04,NA,NA
"Appomattox County, Virginia",0.8767,0.05,1.79,16110,900,14168.64,NA,NA
"Arlington County, Virginia",0.4029,0.0527,2.39,21510,900,8713.81,972,972
"Augusta County, Virginia",0.8742,0.0742,1.85,16650,900,14622.21,NA,NA
"Bath County, Virginia",0.9155,0.0365,1.9,17100,900,15687.9,NA,NA
"Bedford County, Virginia",0.8309,0.0694,1.86,16740,900,13971.73,NA,NA
"Bland County, Virginia",0.8339,0.1033,1.83,16470,900,13827.3,NA,NA
"Botetourt County, Virginia",0.8363,0.0662,1.82,16380,900,13758.17,NA,NA
"Brunswick County, Virginia",0.8294,0.0787,1.71,15390,900,12835.3,NA,NA
"Buchanan County, Virginia",0.8548,0.0821,1.84,16560,900,14229.38,NA,NA
"Buckingham County, Virginia",0.8096,0.0897,1.65,14850,900,12103.29,NA,NA
"Campbell County, Virginia",0.8523,0.0765,1.88,16920,900,14489.77,NA,NA
"Caroline County, Virginia",0.7561,0.1125,1.79,16110,900,12282.02,NA,NA
"Carroll County, Virginia",0.8811,0.1072,1.78,16020,900,14211.7,NA,NA
"Charles City County, Virginia",0.8625,0.0554,1.59,14310,900,12392.24,NA,NA
"Charlotte County, Virginia",0.8731,0.0776,2,18000,900,15785.64,NA,NA
"Chesterfield County, Virginia",0.7603,0.0784,1.91,17190,900,13140.12,NA,NA
"Clarke County, Virginia",0.7393,0.0713,1.92,17280,900,12839.27,NA,NA
"Craig County, Virginia",0.8529,0.072,1.81,16290,900,13958.54,NA,NA
"Culpeper County, Virginia",0.7736,0.1165,1.89,17010,900,13263.79,NA,NA
"Cumberland County, Virginia",0.838,0.0806,1.68,15120,900,12743.1,NA,NA
"Dickenson County, Virginia",0.7957,0.1365,1.85,16650,900,13371.25,NA,NA
"Dinwiddie County, Virginia",0.8199,0.0923,1.8,16200,900,13365.45,NA,NA
"Essex County, Virginia",0.7708,0.0833,1.9,17100,900,13255.65,NA,NA
"Fairfax County, Virginia",0.5933,0.0803,2,18000,900,10751.67,NA,NA
"Fauquier County, Virginia",0.7828,0.071,1.83,16470,900,12956.62,NA,NA
"Floyd County, Virginia",0.8252,0.0944,1.75,15750,900,13081.86,NA,NA
"Fluvanna County, Virginia",0.7622,0.1023,1.79,16110,900,12371.11,NA,NA
"Franklin County, Virginia",0.8219,0.0765,1.73,15570,900,12865.83,NA,NA
"Frederick County, Virginia",0.8123,0.0835,1.81,16290,900,13307.52,NA,NA
"Giles County, Virginia",0.8697,0.0985,1.91,17190,900,15038.79,NA,NA
"Gloucester County, Virginia",0.8746,0.041,1.79,16110,900,14126.71,NA,NA
"Goochland County, Virginia",0.8111,0.0398,1.81,16290,900,13248.64,NA,NA
"Grayson County, Virginia",0.8308,0.0987,1.77,15930,900,13323.47,NA,NA
